No.	halLeu	nipNip	galGal	aptHaa	aptOwe	aptRow	casCas	droNov	rheAme	rhePen	cryCin	tinGut	eudEle	notPer	anoDid	strCam	taeGut-aptFor	taeGut-galGal	aptHaa-aptOwe	aptHaa-aptRow	casCas-droNov	aptHaa-casCas	rheAme-rhePen	aptHaa-rheAme	cryCin-tinGut	eudEle-notPer	cryCin-eudEle	cryCin-anoDid	aptHaa-cryCin	aptHaa-strCam	taeGut-aptHaa	genetree
0	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	((nipNip:0.0961322,(halLeu:0.0970316,galGal:0.167794):0.00106978):0.0419437,(((((casCas:0.0183245,droNov:0.0205116):0.0221574,aptRow:0.0334131):0.00564433,(aptHaa:0.0016923,aptOwe:0.00193915):0.0376979):0.0113636,(strCam:0.0532174,(eudEle:0.164314,cryCin:0.155118):0.015455):0.000146248):0.00286935,(((rhePen:0.0431563,rheAme:0.0425164):0.0329557,anoDid:0.086914):0.00145836,(tinGut:0.0735688,notPer:0.0985595):0.0888031):0.00297945):0.0399203);
1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	(((nipNip:0.0914668,halLeu:0.0934359):0.00775436,galGal:0.171953):0.0388547,(((aptRow:0.0506381,((anoDid:0.0495953,cryCin:0.131832):0.0102925,(tinGut:0.0959906,(eudEle:0.0679705,notPer:0.0755283):0.045453):0.0378967):0.0288118):0.00542789,(strCam:0.0571419,(droNov:0.0325973,casCas:0.0304102):0.0308579):0.00186682):0.000939897,((rheAme:0.0254215,rhePen:0.0260613):0.0505658,(aptHaa:0.00160097,aptOwe:0.00184782):0.0480995):0.00763826):0.0362047);
2	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	((galGal:0.187535,(nipNip:0.0531125,halLeu:0.0550816):0.0616906):0.0199588,(strCam:0.0562491,(((((cryCin:0.0514736,tinGut:0.0432366):0.0440687,(eudEle:0.0845539,notPer:0.0921117):0.0201843):0.0739104,(rhePen:0.0251023,rheAme:0.0244625):0.0513118):0.000721214,anoDid:0.0879374):0.00275378,((droNov:0.0401865,casCas:0.0379994):0.0188951,((aptRow:0.0101309,aptHaa:0.0104638):0.0180617,aptOwe:0.0287723):0.0216331):0.00280399):0.000676789):0.0365902);
3	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	0	1	1	2	2	2	2	2	2	1	1	1	1	1	0	0	(((halLeu:0.0817796,nipNip:0.0798104):0.0165267,galGal:0.169069):0.0417388,((((droNov:0.0444271,casCas:0.04224):0.00497619,((eudEle:0.0781702,(cryCin:0.0492282,tinGut:0.0409912):0.0197461):0.0913839,rheAme:0.0666798):8.70884e-05):0.0138239,((notPer:0.161437,anoDid:0.0624463):0.0245945,(strCam:0.0516683,(aptRow:0.00638611,aptOwe:0.00696581):0.0423395):0.000253764):0.00499186):0.00749031,(rhePen:0.0780897,aptHaa:0.051163):0.0106313):0.0317491);
4	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	((rhePen:0.103603,(((((aptRow:0.0162125,(aptHaa:0.00143556,aptOwe:0.00168241):0.0151098):0.0332472,(droNov:0.042737,casCas:0.0405499):0.0159787):0.000261423,strCam:0.0526639):0.00293103,rheAme:0.0792719):0.00542989,((cryCin:0.136597,(eudEle:0.067533,notPer:0.0750908):0.0782594):0.0332246,(anoDid:0.0550899,tinGut:0.129089):0.0324947):0.00855901):0.0182611):0.0168674,((galGal:0.166117,nipNip:0.093385):0.0173745,halLeu:0.112729):0.0273164);
5	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	((nipNip:0.100469,(halLeu:0.0956319,galGal:0.166395):0.00680654):0.0376065,(((aptOwe:0.0269383,(aptRow:0.0171494,aptHaa:0.0174823):0.00920916):0.0262691,(((eudEle:0.111839,(cryCin:0.0530217,tinGut:0.0447847):0.0496212):0.0667043,strCam:0.0519918):0.000959855,anoDid:0.0880705):0.00261875):0.00629246,(((droNov:0.0459677,casCas:0.0437806):0.0119516,rheAme:0.075283):0.00616657,(notPer:0.189352,rhePen:0.0795596):0.00252984):0.00409027):0.0342904);
6	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	((halLeu:0.120801,(nipNip:0.106081,galGal:0.178813):0.0127506):0.019244,((((((anoDid:0.0538554,eudEle:0.145288):0.0292556,(aptOwe:0.0333673,(casCas:0.0198447,droNov:0.0220318):0.0200118):0.0122619):0.00358766,(notPer:0.0831266,cryCin:0.0663729):0.102562):0.000686208,(rheAme:0.0124849,rhePen:0.0131248):0.0634581):0.00411224,strCam:0.0563783):0.000186344,((aptRow:0.0170889,aptHaa:0.0174217):0.0314069,tinGut:0.160557):0.00512616):0.0395886);
7	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	(galGal:0.210808,((halLeu:0.0901591,nipNip:0.0881899):0.0458533,(((((aptOwe:0.00456212,aptHaa:0.00431527):0.000638814,aptRow:0.00462124):0.0350225,(casCas:0.0141522,droNov:0.0163393):0.0325603):0.0107764,((anoDid:0.0749344,(rheAme:0.0234745,rhePen:0.0241143):0.0400181):0.011829,tinGut:0.160763):0.00171819):0.00251363,(((eudEle:0.0718966,notPer:0.0794544):0.0266742,cryCin:0.0893749):0.0795145,strCam:0.0515341):0.00434231):0.0362443):0.00403266);
8	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0	((halLeu:0.0538919,nipNip:0.0519228):0.0861531,((((((eudEle:0.0677771,notPer:0.0753349):0.0804794,anoDid:0.0568241):0.0328903,(strCam:0.0532396,(cryCin:0.0517621,tinGut:0.0435251):0.118833):0.001356):0.00150375,((aptHaa:0.00499579,aptRow:0.00466294):0.0234665,aptOwe:0.0287091):0.0250273):0.0311503,((casCas:0.014603,droNov:0.0167901):0.0451496,(rheAme:0.0757925,rhePen:0.0764323):0.00351092):0.0316232):0.00506216,galGal:0.206966):0.00384149);
9	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0	((galGal:0.182062,(halLeu:0.0777542,nipNip:0.0757851):0.0335449):0.0287459,(eudEle:0.191175,(((casCas:0.0574297,((anoDid:0.0607125,(notPer:0.121626,tinGut:0.0966352):0.0380769):0.0259103,cryCin:0.168859):0.0017995):1.84937e-05,((aptRow:0.0153981,(aptHaa:0.00441214,aptOwe:0.00465899):0.0113189):0.0331955,strCam:0.0515363):0.00178564):0.00135564,(droNov:0.0589436,(rheAme:0.00972645,rhePen:0.0103663):0.0665808):0.00204731):0.00994618):0.0315295);
10	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	(((halLeu:0.102668,galGal:0.173431):0.00390517,nipNip:0.104604):0.0334715,(((aptRow:0.0490466,strCam:0.0519893):0.00506169,((aptHaa:0.0490564,rheAme:0.0753431):0.000637428,(aptOwe:0.0359718,rhePen:0.0626516):0.0139688):0.00474738):0.0110637,(((cryCin:0.047133,tinGut:0.038896):0.0629139,eudEle:0.119243):0.0642868,(anoDid:0.0876073,((casCas:0.0292853,droNov:0.0314724):0.0264632,notPer:0.185731):0.000866165):0.00448986):0.0111364):0.0280386);
