No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2
0	0	-756.09336	-738.27419	-743.50898	17.819167	5.2347891
1	1	-586.27492	-577.88455	-579.77136	8.3903688	1.8868062
2	2	-434.79433	-417.30557	-424.67093	17.488757	7.3653579
3	3	-573.00684	-559.53082	-566.91471	13.476026	7.3838905
4	4	-598.20774	-582.4702	-590.2509	15.737534	7.7807004
5	5	-653.95994	-635.35621	-642.70185	18.603727	7.3456382
6	6	-553.98022	-533.70907	-537.67322	20.271158	3.9641529
7	7	-429.49537	-419.17729	-423.91436	10.318083	4.7370715
8	8	-725.8172	-704.70273	-709.21707	21.114473	4.5143433
9	9	-786.0155	-755.09027	-761.33267	30.925236	6.2423983
10	10	-553.22357	-542.71326	-548.89686	10.510308	6.183605
11	11	-575.18665	-559.04919	-565.32455	16.137467	6.2753625
12	12	-621.83618	-605.14607	-611.61638	16.69011	6.4703047
13	13	-596.68052	-595.03458	-593.987	1.6459361	-1.0475837
14	14	-541.12638	-527.77043	-532.88795	13.35595	5.1175207
15	15	-777.28805	-742.71157	-749.10736	34.576481	6.395794
16	16	-587.89557	-576.71795	-576.83877	11.177625	0.12081629
17	17	-501.85364	-493.08511	-499.75661	8.7685267	6.6714975
18	18	-707.0119	-684.5241	-689.95287	22.487794	5.4287653
19	19	-724.06991	-691.84226	-698.84447	32.22765	7.002211
20	20	-642.69274	-627.98612	-631.52507	14.706626	3.5389517
21	21	-522.98582	-505.00506	-512.55601	17.980753	7.550942
22	22	-603.407	-590.66328	-592.61861	12.743721	1.9553299
23	23	-505.68309	-493.94293	-498.30729	11.740167	4.3643634
24	24	-651.82487	-640.73036	-645.56583	11.094506	4.8354689
25	25	-693.14289	-663.29427	-669.33238	29.848611	6.0381046
26	26	-601.4557	-591.38362	-593.80665	10.072072	2.4230243
27	27	-616.761	-613.59692	-619.1335	3.1640825	5.5365837
28	28	-642.19495	-626.15528	-631.95934	16.039673	5.8040652
