No.	prop	genetree
24	0.0446667	((galGal:0.196857,(halLeu:0.0701145,nipNip:0.0681453):0.0559798):0.0139507,(strCam:0.0883517,(((casCas:0.0433045,((aptHaa:0.0348504,droNov:0.0437735):0.00129822,(aptOwe:0.00666917,aptRow:0.00608947):0.0297263):0.000419908):0.00171384,((anoDid:0.0529326,(cryCin:0.0803499,eudEle:0.0895458):0.0548191):0.00670949,(tinGut:0.0624007,notPer:0.0873914):0.0712409):0.016369):0.015586,(rheAme:0.0571886,rhePen:0.0578284):0.0229666):0.0318735):0.00780157);
24	0.0273333	((galGal:0.208647,(halLeu:0.067082,nipNip:0.0651129):0.0708022):0.00216078,(strCam:0.0924807,((((casCas:0.0423905,(aptHaa:0.0322802,droNov:0.0412033):0.00337429):0.00257933,(aptOwe:0.00659244,aptRow:0.00601274):0.0318882):0.00202477,((anoDid:0.0561978,(cryCin:0.0988992,eudEle:0.108095):0.0395351):0.00249261,(tinGut:0.0624007,notPer:0.0873914):0.0702892):0.0192968):0.0256501,(rheAme:0.0571886,rhePen:0.0578284):0.0350069):0.0239621):0.00367266);
24	0.02	((strCam:0.0958014,(galGal:0.18632,(halLeu:0.0593415,nipNip:0.0573724):0.0562155):0.0241361):0.00035188,((((aptHaa:0.0347601,droNov:0.0436832):0.00227449,(rheAme:0.0508817,rhePen:0.0515216):0.0124397):9.77012e-05,(casCas:0.04348,(aptOwe:0.00896981,aptRow:0.00839011):0.028021):0.000388336):0.0009591,(anoDid:0.0691969,((cryCin:0.0795572,eudEle:0.0887531):0.0553075,(tinGut:0.0828508,notPer:0.107842):0.0437769):0.0165687):0.00662312):0.0554521);
24	0.0193333	((galGal:0.208647,(halLeu:0.0637256,nipNip:0.0617564):0.0741587):0.00216078,(strCam:0.0924807,((((aptHaa:0.0322802,droNov:0.0412033):0.00622325,(casCas:0.0449857,(aptOwe:0.00666917,aptRow:0.00608947):0.0318274):0.000253681):0.00175514,((anoDid:0.0551458,(cryCin:0.0993629,eudEle:0.108559):0.0380194):0.00358199,(tinGut:0.0624007,notPer:0.0873914):0.0703267):0.0192594):0.0256501,(rheAme:0.0571886,rhePen:0.0578284):0.0350069):0.0239621):0.00367266);
24	0.0193333	((galGal:0.190413,(halLeu:0.0946185,nipNip:0.0926493):0.0250322):0.0203943,(strCam:0.0779926,((((aptHaa:0.0249308,(aptOwe:0.0108967,aptRow:0.010317):0.014281):0.0124836,(casCas:0.0386751,droNov:0.0408622):0.00547538):0.000399475,((anoDid:0.0699138,(cryCin:0.0802113,eudEle:0.0894072):0.071939):0.001191,(tinGut:0.125836,notPer:0.150826):0.0192688):0.00443774):0.000277471,(rheAme:0.0426492,rhePen:0.0432891):0.0217289):0.0372914):0.0181607);
64	0.054	((galGal:0.204988,(halLeu:0.0769436,nipNip:0.0749745):0.057282):0.00581939,((tinGut:0.175575,(((aptHaa:0.0305285,(aptOwe:0.00615713,aptRow:0.00557743):0.0246182):0.0142986,(notPer:0.129103,(cryCin:0.0660964,eudEle:0.0752923):0.046253):0.0524428):0.0135911,(casCas:0.0590024,(anoDid:0.0865718,(rheAme:0.0400808,rhePen:0.0407206):0.0350492):0.0034232):0.00615188):0.00542897):0.00192942,(droNov:0.060159,strCam:0.0538457):0.0145408):0.0277668);
64	0.0386667	(((galGal:0.173693,(halLeu:0.0695618,nipNip:0.0675926):0.0333686):0.0351398,((droNov:0.0706559,((aptHaa:0.0368582,(aptOwe:0.00645707,aptRow:0.00587737):0.030648):0.0168442,(notPer:0.127272,(cryCin:0.081584,eudEle:0.0907799):0.0289346):0.063149):0.00803036):0.0107388,(casCas:0.0602821,(anoDid:0.0853462,(rheAme:0.0292657,rhePen:0.0299056):0.0446387):0.00592849):0.0189255):0.019097):0.00197484,(tinGut:0.1704,strCam:0.0612815):0.0348718);
64	0.034	((galGal:0.186998,(halLeu:0.0648305,nipNip:0.0628613):0.0514051):0.0238094,((tinGut:0.175225,(((aptHaa:0.0352913,(aptOwe:0.0131951,aptRow:0.0126154):0.022343):0.00742233,(notPer:0.129103,(cryCin:0.0969828,eudEle:0.106179):0.0153667):0.0503293):0.0149564,(anoDid:0.0902725,(casCas:0.0566772,(rheAme:0.0333915,rhePen:0.0340313):0.0428365):0.00260271):0.00512612):0.00582733):0.00250806,(droNov:0.060159,strCam:0.0538457):0.0147695):0.0275381);
64	0.026	(((galGal:0.173289,(halLeu:0.0773004,nipNip:0.0753312):0.0252254):0.0360192,(tinGut:0.171685,strCam:0.0625671):0.0320862):0.00150005,(droNov:0.0681034,(((aptHaa:0.0368582,(aptOwe:0.0071525,aptRow:0.0065728):0.0299526):0.0149432,(notPer:0.126326,(cryCin:0.0782495,eudEle:0.0874454):0.0313227):0.0621944):0.0055489,(casCas:0.0607082,(anoDid:0.0871917,(rheAme:0.0149839,rhePen:0.0156238):0.0607659):0.00450909):0.00337815):0.00182998):0.0343632);
64	0.0246667	((galGal:0.168669,(halLeu:0.0845211,nipNip:0.0825519):0.0133854):0.0421385,(((((aptHaa:0.02881,(aptOwe:0.00708906,aptRow:0.00650936):0.0219678):0.0129811,(notPer:0.131801,(cryCin:0.0742325,eudEle:0.0834284):0.0408148):0.046709):0.0130175,(casCas:0.0572979,droNov:0.059485):0.00424688):0.00864,(anoDid:0.0833312,(rheAme:0.025,rhePen:0.0256399):0.0468894):0.0178461):0.0226481,(tinGut:0.174249,strCam:0.0651309):0.0235758):0.00744667);
