No.	halLeu	nipNip	galGal	aptHaa	aptOwe	aptRow	casCas	droNov	rheAme	rhePen	cryCin	tinGut	eudEle	notPer	anoDid	strCam	taeGut.aptFor	taeGut.galGal	aptHaa.aptOwe	aptHaa.aptRow	casCas.droNov	aptHaa.casCas	rheAme.rhePen	aptHaa.rheAme	cryCin.tinGut	eudEle.notPer	cryCin.eudEle	cryCin.anoDid	aptHaa.cryCin	aptHaa.strCam	taeGut.aptHaa
0	1	0	1	2	2	2	1	1	2	2	1	1	1	1	1	1	0	0	2	1	1	1	2	1	1	1	1	1	1	1	0
1	0	1	1	2	2	2	0	0	2	2	1	1	1	1	1	1	0	0	2	1	0	0	1	0	1	1	1	1	0	0	0
2	1	1	1	2	2	2	0	0	2	2	1	1	0	0	0	0	1	1	2	1	0	0	1	0	1	0	0	0	0	0	0
3	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	0	0	1	1	1	1	2	1	1	1	1	1	1	1	0
4	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	0	0	1	2	2	0	0	0	2	2	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
6	0	0	1	2	2	2	1	1	2	2	1	1	1	1	1	1	0	0	2	1	1	1	1	1	1	1	1	1	1	1	0
7	1	0	1	2	2	2	1	1	2	2	1	1	1	1	1	1	0	0	2	2	1	1	2	1	0	1	0	0	0	0	0
8	1	1	1	2	2	2	0	0	2	2	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0
9	0	0	1	2	2	2	0	0	2	2	0	1	1	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
10	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11	0	0	0	2	2	2	0	0	2	2	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
12	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
13	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14	1	1	0	2	2	2	0	0	2	2	0	1	1	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
15	1	1	1	2	2	2	0	0	2	2	1	1	1	1	1	1	1	1	2	1	0	0	1	0	1	1	1	1	0	0	0
16	0	0	1	2	2	2	1	1	2	2	1	1	1	1	0	1	0	0	2	2	1	1	1	1	1	1	1	0	0	0	0
17	1	1	1	2	2	2	0	0	0	0	0	0	0	0	1	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0
18	0	0	1	2	2	2	1	1	2	2	0	0	0	0	1	1	0	0	2	2	1	1	1	0	0	0	0	0	0	0	0
19	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0
20	1	0	1	2	2	2	0	0	2	2	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
21	0	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	0	0	2	1	1	1	1	1	1	1	1	1	1	1	0
22	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1
23	0	0	1	2	2	2	1	1	2	2	0	1	0	1	0	0	0	0	2	1	1	1	2	1	0	0	0	0	0	0	0
24	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
25	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	0
26	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
27	1	1	1	2	2	2	1	0	2	2	1	1	1	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0
28	1	1	1	2	2	2	0	0	2	2	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	0	0
29	0	0	1	2	2	2	1	1	2	2	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
30	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
31	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	0	0
32	0	0	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
33	0	0	1	2	2	2	0	1	2	2	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
34	1	1	1	2	2	2	0	0	2	2	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	0	0
35	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
36	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	0	2	2	1	1	1	1	1	1	1	1	1	1	0
37	1	0	1	2	2	2	0	1	2	2	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0
38	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0
39	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1
40	0	0	1	2	2	2	0	0	2	2	0	1	0	1	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0
41	1	1	1	2	2	2	1	1	0	0	1	1	1	1	1	1	1	1	2	1	1	1	0	0	1	1	1	1	0	0	0
42	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
43	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
44	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0
45	0	0	1	2	2	2	1	1	2	2	1	1	1	1	1	1	0	0	2	2	1	1	1	1	1	1	1	1	1	0	0
46	1	1	1	2	2	2	1	1	2	2	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0
47	0	1	1	2	2	2	1	1	2	2	1	1	1	1	0	1	0	0	2	2	1	1	2	1	1	0	0	0	0	0	0
48	0	1	0	2	2	2	1	1	2	2	0	0	1	0	1	0	0	0	2	1	1	1	1	1	0	0	0	0	0	0	0
49	1	1	1	2	1	0	0	0	2	2	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0
50	1	1	1	2	2	2	0	0	0	0	1	1	1	1	1	1	1	1	2	1	0	0	0	0	1	1	1	1	0	0	0
51	1	1	1	2	2	2	0	0	2	2	0	0	0	0	1	1	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0
52	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
53	0	0	0	2	2	2	1	1	2	2	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
54	1	1	1	2	2	2	0	0	2	2	1	1	1	1	1	1	1	1	2	1	0	0	1	0	1	1	1	1	0	0	0
55	0	0	1	2	2	2	1	1	2	2	1	1	1	1	0	1	0	0	2	1	1	1	2	1	1	1	1	0	0	0	0
56	0	0	1	2	2	2	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
57	0	0	1	2	2	2	1	0	2	2	1	0	0	0	1	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0
58	0	0	1	2	2	2	1	1	2	2	1	1	1	1	1	1	0	0	2	1	1	1	1	1	1	1	1	1	1	1	0
59	1	1	1	2	2	2	1	1	2	2	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
60	1	1	1	2	2	2	0	0	2	2	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0
61	1	0	1	2	2	2	1	1	2	2	1	1	1	1	1	1	0	0	2	1	1	1	1	1	1	1	1	1	1	1	0
62	1	1	0	2	2	2	1	1	2	2	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0
63	0	0	0	2	2	2	1	1	2	2	1	1	1	1	1	1	0	0	2	1	1	1	2	1	1	1	1	1	1	0	0
64	0	1	0	2	2	2	0	0	2	2	1	0	1	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0
65	1	1	0	2	2	2	0	0	2	2	1	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0
66	1	1	1	2	2	2	0	1	2	2	1	1	1	1	1	1	1	1	2	1	0	0	1	0	1	1	1	1	0	0	0
67	0	0	0	2	2	0	0	1	2	2	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
68	1	1	1	2	1	0	0	0	2	2	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0
