No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
0	0	-720.20226	-683.00339	-666.44206	37.198868	-16.561324	-703.25606	-671.65549	-646.52139
1	1	-623.60625	-580.86826	-588.37236	42.737989	7.504107	-612.21567	-570.11899	-570.13926
2	2	-881.2148	-791.48187	-792.19055	89.73293	0.70867392	-869.65466	-778.13202	-774.68299
3	3	-544.5539	-520.063	-518.17011	24.490902	-1.8928962	-530.05781	-512.50101	-500.8837
4	4	-518.84376	-482.81577	-492.05418	36.02799	9.2384094	-504.35694	-474.49789	-474.49244
5	5	-808.4463	-759.31648	-757.10025	49.129814	-2.2162305	-799.50776	-745.1448	-740.16669
6	6	-561.51616	-511.04377	-518.63703	50.472389	7.5932627	-548.20085	-500.49294	-500.49667
7	7	-712.51158	-667.31265	-673.49539	45.198933	6.1827431	-692.37926	-654.13349	-654.30991
8	8	-953.06678	-873.92244	-844.96033	79.144341	-28.96211	-939.80165	-857.25991	-823.50493
9	9	-723.59569	-688.4062	-678.53795	35.189491	-9.8682525	-700.44936	-666.21479	-651.36263
10	10	-551.76769	-523.0229	-530.59268	28.744794	7.5697743	-540.76035	-514.03422	-514.03323
11	11	-711.92094	-684.53547	-674.03105	27.385464	-10.50442	-704.53217	-670.79356	-652.84397
12	12	-404.30154	-387.00215	-392.86684	17.299393	5.8646847	-392.7097	-382.44109	-380.08119
13	13	-582.28844	-522.1114	-528.08655	60.177042	5.9751466	-568.27221	-513.85979	-511.14084
14	14	-932.58451	-832.29938	-832.87326	100.28513	0.57387861	-919.75185	-815.57736	-815.54408
15	15	-524.67486	-491.19773	-497.8965	33.477129	6.6987719	-512.24234	-483.7352	-482.00176
16	16	-529.21301	-498.97278	-504.79799	30.240223	5.8252091	-514.61505	-489.69654	-486.0731
17	17	-910.04519	-873.51421	-828.80443	36.530983	-44.709775	-897.76874	-859.28934	-814.07721
