No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut.aptFor_0	taeGut.aptFor_1	taeGut.aptFor_2	taeGut.aptFor_3	taeGut.galGal_0	taeGut.galGal_1	taeGut.galGal_2	taeGut.galGal_3	aptHaa.aptOwe_0	aptHaa.aptOwe_1	aptHaa.aptOwe_2	aptHaa.aptOwe_3	aptHaa.aptRow_0	aptHaa.aptRow_1	aptHaa.aptRow_2	aptHaa.aptRow_3	casCas.droNov_0	casCas.droNov_1	casCas.droNov_2	casCas.droNov_3	aptHaa.casCas_0	aptHaa.casCas_1	aptHaa.casCas_2	aptHaa.casCas_3	rheAme.rhePen_0	rheAme.rhePen_1	rheAme.rhePen_2	rheAme.rhePen_3	aptHaa.rheAme_0	aptHaa.rheAme_1	aptHaa.rheAme_2	aptHaa.rheAme_3	cryCin.tinGut_0	cryCin.tinGut_1	cryCin.tinGut_2	cryCin.tinGut_3	eudEle.notPer_0	eudEle.notPer_1	eudEle.notPer_2	eudEle.notPer_3	cryCin.eudEle_0	cryCin.eudEle_1	cryCin.eudEle_2	cryCin.eudEle_3	cryCin.anoDid_0	cryCin.anoDid_1	cryCin.anoDid_2	cryCin.anoDid_3	aptHaa.cryCin_0	aptHaa.cryCin_1	aptHaa.cryCin_2	aptHaa.cryCin_3	aptHaa.strCam_0	aptHaa.strCam_1	aptHaa.strCam_2	aptHaa.strCam_3	taeGut.aptHaa_0	taeGut.aptHaa_1	taeGut.aptHaa_2	taeGut.aptHaa_3
18	6.28801	0.264101	0.230542	0.462359	0	0	0.764667	0.235333	0	0	0.752667	0.247333	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.006	0.994	0	0	0.902	0.098	0	0	0	1	0	0	0	1	0	0.714	0.0106667	0.275333	0	0.709333	0.265333	0.0253333	0	0.616667	0.383333	0	0	0.712	0.288	0	0	0.636	0.364	0	0	0.268	0.732	0	0	0.772	0.228	0	0	0.778667	0.221333	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0.614	0.386	0	0.183333	0.816667	0	0	0.714	0.286	0	0	0.719333	0.280667	0	0	0.722	0.278	0	0	0.724	0.276	0	0	0.731333	0.268667	0	0	0.749333	0.250667	0	0	0.872667	0.127333	0
0	4.89228	0.29994	0.476522	0.218837	0	0	0.27	0.73	0	0	0.504	0.496	0	0	0.00733333	0.992667	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.997333	0.00266667	0	0	0	1	0	0	0	1	0	0	0	1	0	0.0226667	0.975333	0.002	0	0.0113333	0.988667	0	0	0.02	0.98	0	0	0.008	0.992	0	0	0.014	0.986	0	0	0.0106667	0.989333	0	0	0.504667	0.495333	0	0	0.508667	0.491333	0	0	0	0	1	0	0	0.996667	0.00333333	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0.0233333	0.976667	0	0	0.022	0.978	0	0	0.0233333	0.976667	0	0	0.024	0.976	0	0	0.0373333	0.962667	0	0	0.076	0.924	0	0	0.655333	0.344667	0
14	10.3975	0.151303	0.260895	0.800523	0	0	0.0553333	0.944667	0	0	0.106667	0.893333	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.991333	0.00266667	0.006	0	0.967333	0.0266667	0.006	0	0	0	1	0	0	0	1	0	0.982667	0.0173333	0	0	0.117333	0.882667	0	0	0.0173333	0.982667	0	0	0.647333	0.352667	0	0	0.810667	0.189333	0	0	0.990667	0.00933333	0	0	0.279333	0.720667	0	0	1	0	0	0	0	0.638	0.362	0	0	1	0	0	0.994	0.00533333	0.000666667	0	0.998667	0.00133333	0	0	0	1	0	0	0.999333	0.000666667	0	0	0.982667	0.0173333	0	0	0.974667	0.0253333	0	0	0.983333	0.0166667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
8	6.06576	0.291035	0.60448	0.370393	0	0	0.004	0.996	0	0	0.004	0.996	0	0	0.00266667	0.997333	0	0	0	0.0366667	0.963333	0	0	0	1	0	0.008	0.123333	0.868667	0	0	0	1	0	0	0.769333	0.230667	0	0	0	1	0	0	0	1	0	0.046	0.954	0	0	0.024	0.976	0	0	0.064	0.0266667	0.909333	0	0.0473333	0.0433333	0.909333	0	0.0366667	0.963333	0	0	0.0826667	0	0.917333	0	0.00466667	0.995333	0	0	0.0113333	0.988667	0	0	0	0.512667	0.487333	0	0.00933333	0.990667	0	0	0	1	0	0	0.0313333	0.968667	0	0	0	1	0	0	0.0573333	0.942667	0	0	0.0806667	0.919333	0	0	0.0826667	0.008	0.909333	0	0.0826667	0.917333	0	0	0.0826667	0.917333	0	0	0.0826667	0.917333	0	0	0.0826667	0.917333	0	0	0.408	0.592	0
19	7.96191	0.21325	0.633508	0.210018	0	0	0.00133333	0.998667	0	0	0.000666667	0.999333	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.002	0.988	0.01	0	0.00266667	0.934	0.0633333	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.0433333	0.956667	0	0	0.066	0.934	0	0	0	0.544	0.456	0	0	1	0	0	0.00333333	0.996667	0	0	0.00333333	0.996667	0	0	0	1	0	0	0.004	0.996	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.0133333	0.986667	0	0	0.0593333	0.940667	0	0	0.38	0.62	0
1	5.65477	0.292121	0.300262	0.247444	0	0	0.897333	0.102667	0	0	0.743333	0.256667	0	0	0.55	0.45	0	0	0	0.000666667	0.999333	0	0	0	1	0	0	0	1	0	0.150667	0.563333	0.286	0	0.127333	0.855333	0.0173333	0	0	0	1	0	0	0	1	0	0.0293333	0.970667	0	0	0.076	0.922667	0.00133333	0	0.0533333	0.946667	0	0	0.000666667	0.999333	0	0	0.07	0.93	0	0	0.160667	0.839333	0	0	0.901333	0.0986667	0	0	0.906	0.094	0	0	0	0.000666667	0.999333	0	0	0.999333	0.000666667	0	0.16	0.839333	0.000666667	0	0.167333	0.832667	0	0	0	1	0	0	0.182667	0.817333	0	0	0.0793333	0.920667	0	0	0.0793333	0.920667	0	0	0.082	0.918	0	0	0.120667	0.879333	0	0	0.223333	0.776667	0	0	0.38	0.62	0	0	0.946667	0.0533333	0
15	3.86132	0.182617	0.640229	0.217943	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.000666667	0.352667	0.646667	0	0.000666667	0.726	0.273333	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00133333	0.998667	0	0	0.016	0.984	0	0	0.000666667	0.999333	0	0	0.133333	0.866667	0	0	0	0	1	0	0	0.995333	0.00466667	0	0.000666667	0.998667	0.000666667	0	0.000666667	0.999333	0	0	0	0.092	0.908	0	0.00133333	0.998667	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00733333	0.992667	0	0	0.0373333	0.962667	0	0	0.255333	0.744667	0	0	0.56	0.44	0
9	5.12323	0.220789	0.329371	0.598663	0	0	0.891333	0.108667	0	0	0.897333	0.102667	0	0	0.264667	0.735333	0	0	0	0.00933333	0.990667	0	0	0	1	0	0.008	0	0.992	0	0	0.016	0.984	0	0	0	1	0	0	0.000666667	0.999333	0	0	0	1	0	0.496	0.00466667	0.499333	0	0.114	0.886	0	0	0.01	0.99	0	0	0.582667	0.258667	0.158667	0	0.134	0.866	0	0	0.376667	0.623333	0	0	0.902	0.098	0	0	0.903333	0.0966667	0	0	0	0.382	0.618	0	0.008	0.954667	0.0373333	0	0	0.999333	0.000666667	0	0.406	0.594	0	0	0	0.974	0.026	0	0.508667	0.491333	0	0	0.496	0.504	0	0	0.582667	0.417333	0	0	0.583333	0.416667	0	0	0.587333	0.412667	0	0	0.616	0.384	0	0	0.685333	0.314667	0	0	0.948	0.052	0
20	7.29889	0.269057	0.242248	0.807889	0	0	0.47	0.53	0	0	0.976667	0.0233333	0	0	0.153333	0.846667	0	0	0	0	1	0	0	0	1	0	0.13	0.000666667	0.869333	0	0.705333	0.148667	0.146	0	0.669333	0.300667	0.03	0	0	0	1	0	0	0	1	0	0.964667	0.0353333	0	0	0.955333	0.0446667	0	0	0.914667	0.0853333	0	0	0.254667	0.745333	0	0	0.836	0.164	0	0	0.387333	0.612667	0	0	0.976667	0.0233333	0	0	0.977333	0.0226667	0	0	0	0.424	0.576	0	0.130667	0.842667	0.0266667	0	0.765333	0.234667	0	0	0.91	0.09	0	0	0	1	0	0	0.930667	0.0693333	0	0	0.977333	0.0226667	0	0	0.954	0.046	0	0	0.977333	0.0226667	0	0	0.977333	0.0226667	0	0	0.977333	0.0226667	0	0	0.978667	0.0213333	0	0	0.989333	0.0106667	0
16	3.54579	0.206303	0.429595	0.227556	0	0	0.545333	0.454667	0	0	0.54	0.46	0	0	0.00466667	0.995333	0	0	0.002	0	0.998	0	0.00133333	0.000666667	0.998	0	0.00133333	0.000666667	0.998	0	0.00133333	0.308667	0.69	0	0.00133333	0.883333	0.115333	0	0	0	1	0	0	0	1	0	0.00133333	0.997333	0.00133333	0	0	1	0	0	0	1	0	0	0	1	0	0	0.062	0.586667	0.351333	0	0.00466667	0.995333	0	0	0.552667	0.447333	0	0	0.563333	0.436667	0	0	0.002	0	0.998	0	0.002	0	0.998	0	0.00133333	0.990667	0.008	0	0.002	0.991333	0.00666667	0	0	0.999333	0.000666667	0	0.0206667	0.979333	0	0	0.00133333	0.998667	0	0	0.00133333	0.998667	0	0	0.004	0.996	0	0	0.0626667	0.937333	0	0	0.0746667	0.925333	0	0	0.139333	0.860667	0	0	0.709333	0.290667	0
