No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
51	1	0.192838	0.355331	0.502663	0	0	0.000142857	0.999857	0	0	0	1	0	0	0.001	0.999	0	0	0.470429	0.529571	0	0	0.499143	0.500857	0	0	0.686143	0.313857	0	0	0.102714	0.897286	0	0	0.0948571	0.905143	0	0	0.639286	0.360714	0	0	0.786429	0.213571	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0368571	0.963143	0	0	0.172286	0.827714	0	0	0.000285714	0.999714	0	0	0.0171429	0.982857	0	0	0.709571	0.290429	0	0	0.991286	0.00871429	0	0	0.176429	0.823571	0	0	0.994857	0.00514286	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.130286	0.869714	0	0	1	0	0	0	1	0	0	0	1	0	0
0	1	0.23521	0.366659	0.49535	0	0	0.0124286	0.987571	0	0	0.0255714	0.974429	0	0	0.00171429	0.998286	0	0	0.481857	0.518143	0	0	0.451286	0.548714	0	0	0.650714	0.349286	0	0	0.0127143	0.987286	0	0	0.0115714	0.988429	0	0	0.830429	0.169571	0	0	0.646429	0.353571	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.006	0.994	0	0	0.210286	0.789714	0	0	0.0528571	0.947143	0	0	0.303143	0.696857	0	0	0.702429	0.297571	0	0	0.976857	0.0231429	0	0	0.0212857	0.978714	0	0	0.982	0.018	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.046	0.954	0	0	1	0	0	0	1	0	0	0	1	0	0
58	1	0.125723	0.325226	0.506128	0	0	0.279714	0.720286	0	0	0.999143	0.000857143	0	0	0.00557143	0.994429	0	0	0.531714	0.468286	0	0	0.529571	0.470429	0	0	0.624429	0.375571	0	0	0.121714	0.878286	0	0	0.108	0.892	0	0	0.747857	0.252143	0	0	0.755857	0.244143	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00171429	0.998286	0	0	0.0634286	0.936571	0	0	1	0	0	0	1	0	0	0	0.754	0.246	0	0	0.979429	0.0205714	0	0	0.195714	0.804286	0	0	0.986	0.014	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0121429	0.987857	0	0	1	0	0	0	1	0	0	0	1	0	0
64	1	0.248134	0.20067	0.494802	0	0	0.951429	0.0485714	0	0	0.272571	0.727429	0	0	0.841143	0.158857	0	0	0.673857	0.326143	0	0	0.665429	0.334571	0	0	0.757714	0.242286	0	0	0.451429	0.548571	0	0	0.439857	0.560143	0	0	0.874857	0.125143	0	0	0.85	0.15	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.023	0.977	0	0	0.689286	0.310714	0	0	0.976	0.024	0	0	0.993286	0.00671429	0	0	0.827143	0.172857	0	0	0.988857	0.0111429	0	0	0.594571	0.405429	0	0	0.994429	0.00557143	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0594286	0.940571	0	0	1	0	0	0	1	0	0	0	1	0	0
43	1	0.226338	0.308481	0.500307	0	0	0.0344286	0.965571	0	0	0.0687143	0.931286	0	0	0.005	0.995	0	0	0.546143	0.453857	0	0	0.548286	0.451714	0	0	0.700286	0.299714	0	0	0.160857	0.839143	0	0	0.164429	0.835571	0	0	0.739	0.261	0	0	0.722143	0.277857	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0257143	0.974286	0	0	0.748857	0.251143	0	0	0.112571	0.887429	0	0	0.305714	0.694286	0	0	0.767571	0.232429	0	0	0.998429	0.00157143	0	0	0.252286	0.747714	0	0	0.999571	0.000428571	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0662857	0.933714	0	0	1	0	0	0	1	0	0	0	1	0	0
24	1	0.182774	0.385282	0.503213	0	0	0.00257143	0.997429	0	0	0.00171429	0.998286	0	0	0	1	0	0	0.426857	0.573143	0	0	0.433429	0.566571	0	0	0.738286	0.261714	0	0	0.0588571	0.941143	0	0	0.0752857	0.924714	0	0	0.702857	0.297143	0	0	0.576143	0.423857	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00657143	0.993429	0	0	0.0405714	0.959429	0	0	0.0108571	0.989143	0	0	0.161571	0.838429	0	0	0.670714	0.329286	0	0	0.998	0.002	0	0	0.126286	0.873714	0	0	0.998571	0.00142857	0	0	0.998143	0.00185714	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.046	0.954	0	0	1	0	0	0	1	0	0	0	1	0	0
13	1	0.0863742	0.394915	0.505056	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.312571	0.687429	0	0	0.311429	0.688571	0	0	0.613571	0.386429	0	0	0.0581429	0.941857	0	0	0.0462857	0.953714	0	0	0.679714	0.320286	0	0	0.668	0.332	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0307143	0.969286	0	0	0.000142857	0.999857	0	0	0.0222857	0.977714	0	0	0.494286	0.505714	0	0	0.906143	0.0938571	0	0	0.106	0.894	0	0	0.941571	0.0584286	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000714286	0.999286	0	0	1	0	0	0	1	0	0	0	1	0	0
34	1	0.182891	0.310533	0.502275	0	0	0.00585714	0.994143	0	0	0.006	0.994	0	0	0.000285714	0.999714	0	0	0.520714	0.479286	0	0	0.522286	0.477714	0	0	0.724286	0.275714	0	0	0.328857	0.671143	0	0	0.311714	0.688286	0	0	0.699857	0.300143	0	0	0.756143	0.243857	0	0	0.000142857	0.999857	0	0	0.000285714	0.999714	0	0	0	1	0	0	0	1	0	0	0.018	0.982	0	0	0.509857	0.490143	0	0	0.0174286	0.982571	0	0	0.0964286	0.903571	0	0	0.740143	0.259857	0	0	0.996429	0.00357143	0	0	0.489857	0.510143	0	0	0.998	0.002	0	0	1	0	0	0	1	0	0	0	0.000428571	0.999571	0	0	0.000142857	0.999857	0	0	0.00142857	0.998571	0	0	0.0592857	0.940714	0	0	1	0	0	0	1	0	0	0	1	0	0
44	1	0.0794353	0.358308	0.488476	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.369143	0.630857	0	0	0.350143	0.649857	0	0	0.671286	0.328714	0	0	0.184857	0.815143	0	0	0.237429	0.762571	0	0	0.699	0.301	0	0	0.628286	0.371714	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.246571	0.753429	0	0	0	1	0	0	0.00728571	0.992714	0	0	0.542857	0.457143	0	0	0.905429	0.0945714	0	0	0.338857	0.661143	0	0	0.935857	0.0641429	0	0	0.976714	0.0232857	0	0	0.986714	0.0132857	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00285714	0.997143	0	0	0.988286	0.0117143	0	0	0.990857	0.00914286	0	0	1	0	0
59	1	0.17621	0.391304	0.511229	0	0	0	1	0	0	0.000142857	0.999857	0	0	0	1	0	0	0.423857	0.576143	0	0	0.394286	0.605714	0	0	0.615429	0.384571	0	0	0.0365714	0.963429	0	0	0.0255714	0.974429	0	0	0.638286	0.361714	0	0	0.630714	0.369286	0	0	0.0291429	0.970857	0	0	0.009	0.991	0	0	0.000428571	0.999571	0	0	0	1	0	0	0.00128571	0.998714	0	0	0.028	0.972	0	0	0.000285714	0.999714	0	0	0.0118571	0.988143	0	0	0.628429	0.371571	0	0	0.981	0.019	0	0	0.0638571	0.936143	0	0	0.984571	0.0154286	0	0	0.999714	0.000285714	0	0	0.999714	0.000285714	0	0	0.0301429	0.969857	0	0	0.00257143	0.997429	0	0	0.0302857	0.969714	0	0	0.044	0.956	0	0	0.999714	0.000285714	0	0	0.999714	0.000285714	0	0	0.999714	0.000285714	0
