No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut.aptFor_0	taeGut.aptFor_1	taeGut.aptFor_2	taeGut.aptFor_3	taeGut.galGal_0	taeGut.galGal_1	taeGut.galGal_2	taeGut.galGal_3	aptHaa.aptOwe_0	aptHaa.aptOwe_1	aptHaa.aptOwe_2	aptHaa.aptOwe_3	aptHaa.aptRow_0	aptHaa.aptRow_1	aptHaa.aptRow_2	aptHaa.aptRow_3	casCas.droNov_0	casCas.droNov_1	casCas.droNov_2	casCas.droNov_3	aptHaa.casCas_0	aptHaa.casCas_1	aptHaa.casCas_2	aptHaa.casCas_3	rheAme.rhePen_0	rheAme.rhePen_1	rheAme.rhePen_2	rheAme.rhePen_3	aptHaa.rheAme_0	aptHaa.rheAme_1	aptHaa.rheAme_2	aptHaa.rheAme_3	cryCin.tinGut_0	cryCin.tinGut_1	cryCin.tinGut_2	cryCin.tinGut_3	eudEle.notPer_0	eudEle.notPer_1	eudEle.notPer_2	eudEle.notPer_3	cryCin.eudEle_0	cryCin.eudEle_1	cryCin.eudEle_2	cryCin.eudEle_3	cryCin.anoDid_0	cryCin.anoDid_1	cryCin.anoDid_2	cryCin.anoDid_3	aptHaa.cryCin_0	aptHaa.cryCin_1	aptHaa.cryCin_2	aptHaa.cryCin_3	aptHaa.strCam_0	aptHaa.strCam_1	aptHaa.strCam_2	aptHaa.strCam_3	taeGut.aptHaa_0	taeGut.aptHaa_1	taeGut.aptHaa_2	taeGut.aptHaa_3
8	7.00829	0.127903	0.110947	0.681477	0	0	1	0	0	0	0.190667	0.809333	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.874667	0.125333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0.00466667	0.995333	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
14	7.02701	0.392828	0.423744	0.645183	0	0	0.218667	0.781333	0	0	0.517333	0.482667	0	0	0.662	0.338	0	0	0	0	1	0	0	0.0126667	0.987333	0	0	0	1	0	0	0	1	0	0	0	1	0	0.165333	0.834667	0	0	0.164667	0.835333	0	0	0.0186667	0.981333	0	0	0.03	0.97	0	0	0.0373333	0.962667	0	0	0.0406667	0.959333	0	0	0.132667	0.867333	0	0	0.124	0.876	0	0	0.894667	0.105333	0	0	0.979333	0.0206667	0	0	0	0.136667	0.863333	0	0	0.576667	0.423333	0	0	0	1	0	0	0.6	0.4	0	0.176667	0.823333	0	0	0.228	0.772	0	0	0.032	0.968	0	0	0.0413333	0.958667	0	0	0.044	0.956	0	0	0.238667	0.761333	0	0	0.354667	0.645333	0	0	0.851333	0.148667	0	0	0.996	0.004	0
0	7.45816	0.320651	0.478628	0.566408	0	0	0.189333	0.810667	0	0	0.620667	0.379333	0	0	0.0666667	0.933333	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0.00133333	0.998667	0	0	0.000666667	0.999333	0	0	0.000666667	0.999333	0	0	0	1	0	0	0.00133333	0.998667	0	0	0.00333333	0.996667	0	0	0.620667	0.379333	0	0	0.626	0.374	0	0	0	0	1	0	0	1	0	0	0	0.923333	0.0766667	0	0.016	0.984	0	0	0	1	0	0	0.0206667	0.979333	0	0	0.00133333	0.998667	0	0	0.000666667	0.999333	0	0	0.00133333	0.998667	0	0	0.00266667	0.997333	0	0	0.0233333	0.976667	0	0	0.0393333	0.960667	0	0	0.718667	0.281333	0
18	3.94192	0.235472	0.550935	0.610672	0	0	0.0973333	0.902667	0	0	0.254667	0.745333	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0.01	0.01	0.98	0	0	0.00133333	0.998667	0	0	0	1	0	0.0433333	0.956667	0	0	0.038	0.962	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.004	0.996	0	0	0.000666667	0.999333	0	0	0.0346667	0.965333	0	0	0.0993333	0.900667	0	0	0.278	0.722	0	0	0.975333	0.0246667	0	0	0	0.02	0.98	0	0.02	0.002	0.978	0	0	0.943333	0.0566667	0	0.0213333	0.927333	0.0513333	0	0.0853333	0.914667	0	0	0.274	0.726	0	0	0.002	0.998	0	0	0.00533333	0.994667	0	0	0.00666667	0.993333	0	0	0.237333	0.762667	0	0	0.570667	0.429333	0	0	0.986	0.014	0	0	1	0	0
15	4.69055	0.169235	0.178794	0.75674	0	0	0.094	0.906	0	0	0.0286667	0.971333	0	0	0.536667	0.463333	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.01	0.00466667	0.985333	0	0.01	0	0.99	0	0.678	0.322	0	0	0.876	0.124	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.99	0.01	0	0	0.516	0.484	0	0	0.6	0.4	0	0	0	0.335333	0.664667	0	0	0.999333	0.000666667	0	0.01	0.99	0	0	0.646	0.354	0	0	0.892	0.108	0	0	0.954	0.046	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
9	4.93499	0.201538	0.580868	0.558049	0	0	0.0146667	0.985333	0	0	0.00933333	0.990667	0	0	0	1	0	0	0	0	1	0	0	0.002	0.998	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0146667	0.985333	0	0	0.0213333	0.978667	0	0	0	0.07	0.93	0	0	1	0	0	0	0.995333	0.00466667	0	0	1	0	0	0	1	0	0	0.00133333	0.998667	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.002	0.998	0	0	0.006	0.994	0	0	0.274	0.726	0
19	4.27335	0.188404	0.209904	0.71358	0	0	0.000666667	0.999333	0	0	0.000666667	0.999333	0	0	0.000666667	0.999333	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.601333	0.398667	0	0	0.744667	0.255333	0	0	0.974667	0.0253333	0	0	0.611333	0.388667	0	0	0.97	0.03	0	0	0.965333	0.0346667	0	0	0.778667	0.221333	0	0	0.607333	0.392667	0	0	0.002	0.998	0	0	0.112667	0.887333	0	0	0	0	1	0	0	0	1	0	0	0.485333	0.514667	0	0	0.836	0.164	0	0.816	0.184	0	0	0.82	0.18	0	0	0.976667	0.0233333	0	0	0.978	0.022	0	0	0.98	0.02	0	0	0.980667	0.0193333	0	0	0.980667	0.0193333	0	0	0.982	0.018	0	0	0.99	0.01	0
1	3.64998	0.224159	0.6219	0.559044	0	0	0.0206667	0.979333	0	0	0.00533333	0.994667	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.00333333	0.00266667	0.994	0	0.00333333	0.0666667	0.93	0	0.024	0.976	0	0	0.012	0.988	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.004	0.996	0	0	0.0266667	0.973333	0	0	0.246667	0.753333	0	0	0	0	1	0	0	0.990667	0.00933333	0	0.00333333	0.952667	0.044	0	0.0526667	0.944	0.00333333	0	0.028	0.972	0	0	0.0606667	0.939333	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00266667	0.997333	0	0	0.0853333	0.914667	0	0	0.288	0.712	0	0	0.614667	0.385333	0
16	4.08471	0.248098	0.589698	0.567622	0	0	0	1	0	0	0.000666667	0.999333	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0.000666667	0.00666667	0.992667	0	0	0.000666667	0.999333	0	0	0	1	0	0.0346667	0.965333	0	0	0.0366667	0.963333	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.0333333	0.966667	0	0	0.000666667	0.999333	0	0	0.0126667	0.987333	0	0	0	0.194	0.806	0	0.000666667	0.977333	0.022	0	0	0.827333	0.172667	0	0.032	0.956667	0.0113333	0	0.0366667	0.963333	0	0	0.04	0.96	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00333333	0.996667	0	0	0.0413333	0.958667	0	0	0.0533333	0.946667	0	0	0.315333	0.684667	0
10	3.75804	0.351594	0.598242	0.511206	0	0	0.00333333	0.996667	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0.044	0.956	0	0	0.421333	0.578667	0	0	0.008	0.992	0	0	0	1	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0	1	0	0	0.002	0.998	0	0	0.002	0.998	0	0	0	1	0	0	0.002	0.998	0	0	0.008	0.992	0	0	0.0126667	0.987333	0	0	0	0.407333	0.592667	0	0	0.995333	0.00466667	0	0	0.996667	0.00333333	0	0.002	0.998	0	0	0	1	0	0	0.00266667	0.997333	0	0	0.000666667	0.999333	0	0	0.002	0.998	0	0	0.00266667	0.997333	0	0	0.00266667	0.997333	0	0	0.00533333	0.994667	0	0	0.0113333	0.988667	0	0	0.266	0.734	0
