No.	halLeu	nipNip	galGal	aptHaa	aptOwe	aptRow	casCas	droNov	rheAme	rhePen	cryCin	tinGut	eudEle	notPer	anoDid	strCam	taeGut-aptFor	taeGut-galGal	aptHaa-aptOwe	aptHaa-aptRow	casCas-droNov	aptHaa-casCas	rheAme-rhePen	aptHaa-rheAme	cryCin-tinGut	eudEle-notPer	cryCin-eudEle	cryCin-anoDid	aptHaa-cryCin	aptHaa-strCam	taeGut-aptHaa	genetree
0	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	0	((nipNip:0.134714,(aptRow:0.0348948,droNov:0.0441508):0.0549543):0.0033615,(((strCam:0.0644447,((rheAme:0.0146627,rhePen:0.0153026):0.0633109,((anoDid:0.0870308,((aptHaa:0.00226158,aptOwe:0.00250843):0.0466725,((notPer:0.100452,eudEle:0.0928943):0.046906,(cryCin:0.100916,tinGut:0.0926785):0.0296889):0.0382947):0.000368139):0.00011612,casCas:0.0561543):0.00226852):0.0101481):0.027796,halLeu:0.136132):0.00285974,galGal:0.209755):0.00105291);
1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	0	(((galGal:0.168107,nipNip:0.0953755):0.0164637,halLeu:0.113808):0.0262367,((eudEle:0.178604,(rheAme:0.0201598,rhePen:0.0207997):0.0555699):0.0355519,((droNov:0.0328767,casCas:0.0306896):0.0322523,(((strCam:0.0532422,(aptHaa:0.00400338,aptOwe:0.00425023):0.046629):0.000742553,aptRow:0.0510421):0.000889063,(cryCin:0.158932,(anoDid:0.0509884,(tinGut:0.111893,notPer:0.136884):0.0130945):0.0257066):0.0132976):0.00394188):0.0287889):0.00854867);
2	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	(((((aptHaa:0.0509633,casCas:0.0576993):0.0110476,anoDid:0.0997395):0.0122695,droNov:0.0832034):0.00386971,((rheAme:0.0346229,rhePen:0.0352628):0.0536462,(strCam:0.0548183,(((notPer:0.0818917,(tinGut:0.0483482,cryCin:0.0565852):0.00855279):0.0764515,eudEle:0.150785):0.0284329,(aptOwe:0.0191637,aptRow:0.018584):0.0311405):0.00215119):0.00977388):0.0161676):0.0153935,((halLeu:0.0542096,nipNip:0.0522405):0.0760961,galGal:0.201069):0.00973921);
3	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	0	(((anoDid:0.084691,eudEle:0.176123):0.0429491,nipNip:0.134444):0.00363207,((((aptRow:0.0499544,(rheAme:0.0445973,rhePen:0.0452371):0.0319768):0.0038585,droNov:0.0630689):0.0107791,(((strCam:0.0523707,(cryCin:0.130712,tinGut:0.122475):0.0390143):6.62718e-05,(aptHaa:0.0434592,notPer:0.180178):0.00636792):0.00171509,(casCas:0.0479054,aptOwe:0.0414162):0.0103728):0.0133828):0.0247128,(halLeu:0.103807,galGal:0.17457):0.0323322):0.00390576);
4	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	(galGal:0.351529,((((((aptHaa:0.0490887,strCam:0.0516985):0.00143687,(((casCas:0.0373446,droNov:0.0395317):0.0183869,tinGut:0.160724):0.0003767,anoDid:0.0871008):0.00115343):0.0036039,(cryCin:0.169588,(rhePen:0.0763962,rheAme:0.0757564):0.000153343):0.00450657):0.00289296,(aptOwe:0.034402,aptRow:0.0338223):0.0228673):0.0104655,(eudEle:0.0701689,notPer:0.0777267):0.12648):0.0232599,(nipNip:0.122805,halLeu:0.124774):0.0124753):0.143517);
5	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	0	((((anoDid:0.076863,((aptHaa:0.00339562,aptOwe:0.00364247):0.0269678,aptRow:0.0300306):0.00877098):0.00969863,rhePen:0.0757597):0.0424222,(galGal:0.178916,nipNip:0.106185):0.0296032):0.0022882,(((strCam:0.0569874,((((eudEle:0.105041,cryCin:0.0958449):0.0610689,casCas:0.0436847):0.0125078,(tinGut:0.149708,droNov:0.0469027):0.0114769):0.000350991,notPer:0.186526):0.00457006):0.00778236,rheAme:0.0884467):0.0301284,halLeu:0.13879):0.00125514);
6	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	0	2	2	2	2	1	1	1	1	1	1	1	1	0	((halLeu:0.0633622,nipNip:0.0613931):0.0766828,(((droNov:0.070184,anoDid:0.0989895):0.00714618,(rheAme:0.0865966,(((cryCin:0.0569245,tinGut:0.0486875):0.0747258,notPer:0.148404):0.0409807,(((aptOwe:0.029277,aptRow:0.0286973):0.0207677,(casCas:0.055907,strCam:0.0517808):0.000626848):0.000822469,((eudEle:0.178095,aptHaa:0.0489336):0.00163347,rhePen:0.0774938):5.32e-05):0.00204551):0.00764401):0.0080972):0.0239569,galGal:0.209628):0.00117956);
7	1	0	1	2	2	2	2	2	1	1	1	1	1	1	1	1	0	0	2	2	2	2	1	1	1	1	1	1	1	0	0	(((nipNip:0.101449,halLeu:0.103418):0.0327934,(rheAme:0.0715343,(aptOwe:0.0317344,aptRow:0.0311547):0.01376):0.0444623):0.0038336,(galGal:0.207266,((aptHaa:0.0515363,((rhePen:0.0762193,notPer:0.186011):0.00126355,((anoDid:0.0652848,eudEle:0.156717):0.0226349,((casCas:0.0122931,droNov:0.0144802):0.0438632,(cryCin:0.0488133,tinGut:0.0405763):0.120572):0.000770838):0.000365111):0.00098011):0.0273721,strCam:0.0815183):0.0110936):0.00354141);
8	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	0	(((halLeu:0.0583472,nipNip:0.0563781):0.07839,((tinGut:0.171894,(anoDid:0.0496523,eudEle:0.141085):0.0482422):0.0037981,(((rheAme:0.029984,rhePen:0.0306239):0.0395285,aptRow:0.0428928):0.0204124,(aptOwe:0.0518075,(cryCin:0.100172,notPer:0.116926):0.0713539):0.0120774):0.000325879):0.0262718):0.00330777,(galGal:0.207774,(strCam:0.052893,((casCas:0.0245108,droNov:0.0266979):0.0315117,aptHaa:0.0492865):0.000996668):0.0402262):0.00303413);
9	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	(nipNip:0.138076,((((((rhePen:0.0140114,rheAme:0.0133715):0.0626352,anoDid:0.0874486):0.00533926,(casCas:0.0607826,((aptOwe:0.0323942,aptRow:0.0318145):0.0168261,eudEle:0.178134):0.00507316):0.00101265):0.0039451,strCam:0.0616141):0.00679622,((tinGut:0.147523,notPer:0.172513):0.0247794,(cryCin:0.16894,(aptHaa:0.0438385,droNov:0.0527616):0.00513622):0.0115993):0.00522651):0.027647,(galGal:0.18182,halLeu:0.111057):0.0288922):9.59283e-05);
