No.	ID	loglik_Null_W	loglik_Acc_W	loglik_Full_W	logBF1	logBF2
0	0	-636.54523	-618.093	-623.61802	18.45223	5.5250215
1	1	-478.61785	-467.06626	-470.95081	11.551592	3.8845475
2	2	-564.58752	-542.88268	-548.74167	21.704838	5.858987
3	3	-516.54745	-493.63218	-495.95084	22.915274	2.3186571
4	4	-441.51263	-416.72255	-422.94581	24.790082	6.2232643
5	5	-526.65313	-511.42812	-516.28712	15.225012	4.859001
6	6	-496.96326	-479.24117	-481.93014	17.722097	2.6889776
7	7	-693.53917	-665.94442	-663.26407	27.59475	-2.6803478
8	8	-866.56711	-853.67267	-857.20598	12.894447	3.5333163
9	9	-487.34357	-466.13897	-470.80885	21.204605	4.6698795
10	10	-497.57719	-489.10938	-492.2135	8.4678162	3.104123
11	11	-494.32193	-481.96446	-484.3667	12.35747	2.4022402
12	12	-686.55901	-659.5094	-665.39886	27.04962	5.8894646
13	13	-518.8553	-501.64554	-508.12557	17.209759	6.480032
14	14	-695.4583	-681.89918	-685.32579	13.559116	3.4266096
15	15	-714.3895	-711.21494	-711.33301	3.1745622	0.11806734
16	16	-487.6744	-470.5426	-474.7467	17.131807	4.2040997
17	17	-434.6117	-416.20154	-421.56201	18.410162	5.3604692
18	18	-522.30697	-516.51506	-521.42693	5.7919061	4.9118728
19	19	-611.08452	-583.08189	-590.10597	28.002627	7.0240735
20	20	-542.62817	-507.76813	-511.99472	34.860038	4.2265887
21	21	-501.84546	-490.31525	-492.24142	11.53021	1.9261633
22	22	-668.4423	-650.98746	-655.2273	17.454847	4.2398441
23	23	-685.13939	-671.32498	-667.8238	13.814403	-3.5011805
24	24	-631.16641	-619.42038	-621.59958	11.746027	2.1791974
25	25	-374.84655	-361.86828	-367.73441	12.978278	5.8661307
26	26	-538.09554	-515.71417	-520.51674	22.381368	4.802575
27	27	-482.39607	-464.12974	-470.90114	18.266333	6.7714075
28	28	-590.16814	-568.71396	-573.61926	21.454176	4.9052915
29	29	-664.88038	-640.35854	-641.35561	24.521841	0.99706878
30	30	-702.55958	-690.82211	-692.67214	11.737471	1.850036
31	31	-554.4749	-531.78921	-539.46796	22.685691	7.6787516
32	32	-682.11708	-661.73374	-665.92525	20.383344	4.1915095
33	33	-603.07632	-577.08494	-580.23289	25.991382	3.1479502
34	34	-614.58416	-597.45932	-599.15812	17.124843	1.6987996
35	35	-620.15935	-607.41401	-607.97961	12.745342	0.5656014
36	36	-454.29837	-433.97137	-438.38929	20.326997	4.4179222
37	37	-457.50098	-446.73401	-446.70434	10.766963	-0.02967348
38	38	-455.96829	-445.13815	-451.29343	10.830132	6.1552769
39	39	-535.1616	-517.79746	-522.05524	17.364141	4.25778
40	40	-522.18233	-506.84296	-509.22471	15.33938	2.3817553
41	41	-521.72141	-517.96608	-518.39186	3.7553275	0.42577975
42	42	-557.43966	-543.15792	-549.81303	14.281742	6.6551178
43	43	-442.43279	-424.26186	-429.46299	18.170931	5.2011374
44	44	-650.3795	-634.11923	-635.98877	16.260268	1.8695358
45	45	-673.2227	-668.61373	-672.07063	4.6089747	3.4568992
46	46	-417.8041	-400.52851	-405.53422	17.275594	5.0057189
47	47	-505.50729	-494.99629	-498.6537	10.511003	3.6574085
48	48	-514.69859	-505.82948	-509.46224	8.8691091	3.6327549
49	49	-402.40972	-394.09715	-398.86626	8.3125649	4.7691087
50	50	-550.03842	-541.9414	-544.71897	8.0970171	2.7775699
51	51	-435.46613	-411.99155	-418.3086	23.474574	6.3170509
52	52	-567.91343	-550.49256	-552.19043	17.420878	1.697874
53	53	-572.02884	-557.24381	-564.95744	14.785036	7.7136313
54	54	-445.20552	-423.48623	-428.76252	21.719295	5.2762963
55	55	-408.63661	-395.27077	-398.52076	13.365835	3.249991
56	56	-522.19237	-494.43142	-501.28808	27.760951	6.8566587
57	57	-550.80789	-536.06251	-525.6774	14.745388	-10.385105
58	58	-560.37961	-539.92132	-544.33855	20.458286	4.417231
59	59	-710.79496	-697.47022	-696.90249	13.324742	-0.56773019
60	60	-607.38935	-571.08791	-572.75748	36.301438	1.6695611
61	61	-729.93424	-692.30061	-698.50763	37.633633	6.207023
62	62	-655.46504	-641.02551	-644.99811	14.439529	3.9725994
63	63	-436.00651	-430.60963	-431.72517	5.396888	1.1155441
64	64	-670.53361	-670.07148	-668.6966	0.46212548	-1.3748839
65	65	-493.58551	-470.26831	-474.19208	23.317205	3.9237737
66	66	-582.42338	-566.60633	-569.33428	15.817052	2.7279481
67	67	-543.31869	-527.06733	-530.5903	16.251359	3.5229625
