No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
43	1.48969	0.119696	0.510415	0.111845	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.00128571	0.998714	0	0	0.00157143	0.998429	0	0	0.00171429	0.998286	0	0	0	1	0	0	0.00314286	0.996857	0	0	0.916571	0.0834286	0	0	0.898571	0.101429	0	0	0.990429	0.00957143	0	0	0.889429	0.110571	0	0	0.993	0.007	0	0	1	0	0	0	0.989571	0.0104286	0	0	0.999	0.001	0	0	1	0	0	0.000142857	0.999857	0	0	0	0.00171429	0.998286	0	0	0.00271429	0.997286	0	0	0.005	0.995	0	0	0.110286	0.889714	0	0	0.999857	0.000142857	0	0	0.999857	0.000142857	0	0	0.997143	0.00285714	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000285714	0.999714	0	0	0.0234286	0.976571	0
51	2.08223	0.0935011	0.593728	0.100662	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00242857	0.997571	0	0	0	1	0	0	0.940714	0.0592857	0	0	0.953429	0.0465714	0	0	1	0	0	0	0.996286	0.00371429	0	0	1	0	0	0	1	0	0	0	0.998143	0.00185714	0	0	0.997286	0.00271429	0	0	1	0	0	0.00571429	0.994286	0	0	0	0	1	0	0	0	1	0	0	0.00357143	0.996429	0	0	0.0864286	0.913571	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000285714	0.999714	0	0	0.228714	0.771286	0
34	3.00536	0.233818	0.593525	0.14081	0	0	0.00285714	0.997143	0	0	0.000714286	0.999286	0	0	0.000428571	0.999571	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.000714286	0.849571	0.149714	0	0.001	0.854143	0.144857	0	0.000285714	0.999714	0	0	0.000428571	0.976714	0.0228571	0	0.000142857	0.999714	0.000142857	0	0	0.999857	0.000142857	0	0.115429	0.880429	0.00414286	0	0.0932857	0.906714	0	0	0.009	0.991	0	0	0.0905714	0.909429	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.123714	0.876286	0	0.00114286	0.998857	0	0	0.0242857	0.975714	0	0	0.000714286	0.999286	0	0	0.000428571	0.999571	0	0	0.00114286	0.998857	0	0	0.311286	0.688714	0	0	0.508286	0.491714	0	0	0.672714	0.327286	0	0	0.760286	0.239714	0
58	1.93653	0.203824	0.773635	0.112585	0	0	0	1	0	0	0	1	0	0	0.0118571	0.988143	0	0	0	0.00642857	0.993571	0	0	0.00785714	0.992143	0	0	0.00571429	0.994286	0	0	0	1	0	0	0	1	0	0	0.887429	0.112571	0	0	0.898429	0.101571	0	0	0.997714	0.00228571	0	0	0.998286	0.00171429	0	0	0.999571	0.000428571	0	0	0.999857	0.000142857	0	0	0.998429	0.00157143	0	0.00385714	0.987429	0.00871429	0	0.000428571	0.999571	0	0	0.0985714	0.901429	0	0	0	0.00814286	0.991857	0	0	0.011	0.989	0	0	0.000285714	0.999714	0	0	0.104857	0.895143	0	0	0.999	0.001	0	0.000142857	0.999	0.000857143	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000428571	0.999571	0	0	0.00171429	0.998286	0	0	0.0205714	0.979429	0	0	0.988429	0.0115714	0
0	2.47014	0.251894	0.761463	0.113296	0	0	0.000428571	0.999571	0	0	0.000714286	0.999286	0	0	0.00142857	0.998571	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.945286	0.0547143	0	0	0.950714	0.0492857	0	0.000285714	0.882429	0.117286	0	0	0.999429	0.000571429	0	0	0.996571	0.00342857	0	0	1	0	0	0.000285714	0.998714	0.001	0	0.00557143	0.994429	0	0	0.00414286	0.995857	0	0	0.0977143	0.902286	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0818571	0.918143	0	0	1	0	0	0.000142857	0.999857	0	0	0.000428571	0.999286	0.000285714	0	0	1	0	0	0.000428571	0.999571	0	0	0.00157143	0.998429	0	0	0.015	0.985	0	0	0.166429	0.833571	0	0	0.999714	0.000285714	0
13	2.08012	0.238398	0.571738	0.113392	0	0	0	1	0	0	0	1	0	0	0.000428571	0.999571	0	0	0	0.000142857	0.999857	0	0	0.000142857	0.999857	0	0	0.000142857	0.999857	0	0	0	1	0	0	0	1	0	0	0.737143	0.262857	0	0	0.915571	0.0844286	0	0	0.977143	0.0228571	0	0	0.997857	0.00214286	0	0	0.996143	0.00385714	0	0	0.998571	0.00142857	0	0	0.997429	0.00257143	0	0	0.999714	0.000285714	0	0	1	0	0	0.006	0.994	0	0	0	0.000142857	0.999857	0	0	0.000142857	0.999857	0	0	0	1	0	0	0.0734286	0.926571	0	0	0.997857	0.00214286	0	0	0.998143	0.00185714	0	0	0.999857	0.000142857	0	0	0.999857	0.000142857	0	0	1	0	0	0	1	0	0	0.000428571	0.999571	0	0	0.00271429	0.997286	0	0	0.196857	0.803143	0
24	1.86221	0.142389	0.487608	0.165119	0	0	0.0128571	0.987143	0	0	0.0564286	0.943571	0	0	0.725143	0.274857	0	0	0.0305714	0.0332857	0.936143	0	0.0321429	0.0321429	0.935714	0	0.0482857	0.0175714	0.934143	0	0.0475714	0.0181429	0.934286	0	0.0518571	0.0138571	0.934286	0	0.000142857	0.901429	0.0984286	0	0	0.912286	0.0877143	0	0	1	0	0	0	0.987143	0.0128571	0	0	0.999714	0.000285714	0	0	0.988286	0.0117143	0	0.0845714	0.435286	0.480143	0	0.203571	0.796429	0	0	0.749714	0.250286	0	0	1	0	0	0	0.0447143	0.0211429	0.934143	0	0.0658571	0	0.934143	0	0.0657143	0.000714286	0.933571	0	0.0658571	0.081	0.853143	0	0.000285714	0.999571	0.000142857	0	0.0765714	0.923286	0.000142857	0	0	1	0	0	0	0.999857	0.000142857	0	0	1	0	0	0.124857	0.875143	0	0	0.396714	0.603286	0	0	0.996857	0.00314286	0	0	1	0	0
64	1.83212	0.226762	0.193762	0.149542	0	0	0.962286	0.0377143	0	0	0.552	0.448	0	0	0.260571	0.739429	0	0	0.589	0.274143	0.136857	0	0.596286	0.262714	0.141	0	0.737429	0.157571	0.105	0	0.601429	0.295143	0.103429	0	0.659571	0.206	0.134429	0	0.724571	0.228	0.0474286	0	0.747286	0.198	0.0547143	0	0.0322857	0.938857	0.0288571	0	0.038	0.932714	0.0292857	0	0.0512857	0.850429	0.0982857	0	0.0465714	0.930429	0.023	0	0.781714	0.128571	0.0897143	0	0.982571	0.0154286	0.002	0	0.983	0.017	0	0	0.991571	0.00842857	0	0	0.731	0.163571	0.105429	0	0.883143	0.019	0.0978571	0	0.775857	0.164143	0.06	0	0.894429	0.0678571	0.0377143	0	0.909857	0.0597143	0.0304286	0	0.946143	0.0431429	0.0107143	0	0.075	0.920857	0.00414286	0	0.113714	0.872857	0.0134286	0	0.218571	0.780857	0.000571429	0	0.865857	0.133714	0.000428571	0	0.978571	0.021	0.000428571	0	0.997429	0.00257143	0	0	0.999429	0.000571429	0
44	2.08593	0.283169	0.735539	0.148792	0	0	0.000285714	0.999714	0	0	0.000428571	0.999571	0	0	0	1	0	0	0.000571429	0.00428571	0.995143	0	0.000571429	0.00385714	0.995571	0	0.000714286	0.00357143	0.995714	0	0.000571429	0.000142857	0.999286	0	0.000714286	0	0.999286	0	0	0.849714	0.150286	0	0.000142857	0.852286	0.147571	0	0	0.662714	0.337286	0	0	0.930286	0.0697143	0	0.000142857	0.988	0.0118571	0	0.000142857	0.987857	0.012	0	0.000285714	0.999571	0.000142857	0	0.0875714	0.797286	0.115143	0	0.00185714	0.998143	0	0	0.0302857	0.969714	0	0	0.000714286	0.00471429	0.994571	0	0.000714286	0.00771429	0.991571	0	0.000714286	0	0.999286	0	0.000714286	0.105	0.894286	0	0.000428571	0.998857	0.000714286	0	0.00514286	0.994143	0.000714286	0	0	0.969143	0.0308571	0	0.000285714	0.997286	0.00242857	0	0.000571429	0.999429	0	0	0.0171429	0.982857	0	0	0.0597143	0.940286	0	0	0.271143	0.728857	0	0	0.998429	0.00157143	0
52	2.16637	0.208343	0.631202	0.113297	0	0	0.00128571	0.998714	0	0	0.000142857	0.999857	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000285714	0.999714	0	0	0.000285714	0.999714	0	0	0.865	0.135	0	0	0.944	0.056	0	0	0.998286	0.00171429	0	0	0.996143	0.00385714	0	0	0.999857	0.000142857	0	0	0.995714	0.00428571	0	0.000142857	0.981571	0.0182857	0	0.0127143	0.987286	0	0	0.00528571	0.994714	0	0	0.0641429	0.935857	0	0	0	0	1	0	0	0	1	0	0	0.000571429	0.999429	0	0	0.0944286	0.905571	0	0	0.999857	0.000142857	0	0.000857143	0.999	0.000142857	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000714286	0.999286	0	0	0.0224286	0.977571	0	0	0.306714	0.693286	0	0	0.523429	0.476571	0
