No.	prop	genetree
43	0.005	(((halLeu:0.1563,rhePen:0.136725):0.0448957,(((aptHaa:0.0117433,aptRow:0.0114105):0.0498047,(aptOwe:0.0520195,strCam:0.0543825):0.00977543):0.00662082,((cryCin:0.171247,(casCas:0.0488843,rheAme:0.068435):0.00913321):0.0104068,((droNov:0.0562585,notPer:0.184054):0.00527044,(anoDid:0.0648374,(tinGut:0.0904271,eudEle:0.10786):0.0484098):0.0254971):0.00908235):0.00648067):0.0865255):0.141094,(nipNip:0.122273,galGal:0.195005):0.218048);
43	0.004	(((halLeu:0.144098,rhePen:0.124523):0.0122119,((anoDid:0.112223,((droNov:0.0521373,(aptOwe:0.0323412,(aptHaa:0.00753572,aptRow:0.00720287):0.0245586):0.0111199):0.0199528,(cryCin:0.165184,(casCas:0.0447848,rheAme:0.0643356):0.00716968):0.0179485):0.0113272):0.00910606,(strCam:0.0536214,(notPer:0.158163,(tinGut:0.0765863,eudEle:0.0940192):0.0565858):0.0295676):0.0325888):0.0262083):0.0359293,(nipNip:0.115005,galGal:0.187737):0.0752657);
43	0.004	((rhePen:0.205599,(halLeu:0.150631,(((droNov:0.0560089,(aptHaa:0.00829646,aptRow:0.00796361):0.0387894):0.0104481,((strCam:0.0542625,(aptOwe:0.041656,(tinGut:0.0906883,eudEle:0.108121):0.062449):0.0102435):0.00282555,(notPer:0.169729,anoDid:0.0707388):0.021468):0.00305575):0.0150246,(cryCin:0.17724,(casCas:0.0553688,rheAme:0.0749195):0.00864254):0.0152832):0.0315705):0.074543):0.0786733,(nipNip:0.102916,galGal:0.175648):0.198962);
43	0.00357143	(((halLeu:0.14114,rhePen:0.121565):0.0312391,(((anoDid:0.0979298,((aptOwe:0.0355433,(aptHaa:0.00922849,aptRow:0.00889564):0.026068):0.0194241,(rheAme:0.0760631,(casCas:0.0523853,cryCin:0.165614):0.00412698):0.00494432):0.00548057):0.00262221,(notPer:0.166136,(tinGut:0.0798127,eudEle:0.0972456):0.0613331):0.0334057):0.00452277,(droNov:0.0663032,strCam:0.0599899):0.00996604):0.0585315):0.0659307,(nipNip:0.117845,galGal:0.190577):0.118495);
43	0.00328571	(((halLeu:0.173358,rhePen:0.153784):0.0520435,(((anoDid:0.0940475,((aptHaa:0.011948,aptRow:0.0116152):0.0385488,(strCam:0.0520821,(tinGut:0.107417,eudEle:0.124849):0.0537838):0.0010246):0.00582201):0.0106953,(droNov:0.0707813,(rheAme:0.0774032,(casCas:0.0520601,cryCin:0.165289):0.0057924):0.0107417):0.00515605):0.012866,(aptOwe:0.0394915,notPer:0.175963):0.0406356):0.0990202):0.0679547,(nipNip:0.139182,galGal:0.211914):0.152206);
43	0.00328571	((rhePen:0.168966,(halLeu:0.151159,(strCam:0.0604415,((aptOwe:0.0522781,((aptHaa:0.00681705,aptRow:0.0064842):0.0434437,(casCas:0.0525807,(rheAme:0.0669946,cryCin:0.160673):0.00513693):0.004416):0.00177054):0.0023318,(notPer:0.187376,(droNov:0.0570871,(anoDid:0.0587913,(tinGut:0.0897117,eudEle:0.107145):0.0430791):0.0271013):0.00249362):0.00370546):0.0034686):0.0468256):0.0373825):0.101342,(nipNip:0.178979,galGal:0.251711):0.108935);
43	0.00328571	((halLeu:0.20879,(rhePen:0.112492,((strCam:0.0606257,(aptOwe:0.0263216,(aptHaa:0.00590242,aptRow:0.00556957):0.0201723):0.0319412):0.00801204,(anoDid:0.093703,((casCas:0.0558208,(rheAme:0.0703066,cryCin:0.163985):0.00506494):0.00344439,(droNov:0.057599,(notPer:0.154307,(tinGut:0.0961273,eudEle:0.11356):0.0331886):0.0310881):0.00385323):0.00344528):0.0100535):0.0195372):0.0767232):0.0914364,(nipNip:0.172927,galGal:0.245659):0.12533);
43	0.00328571	((halLeu:0.154192,(rhePen:0.11316,((((aptHaa:0.0144224,aptRow:0.0140895):0.0394646,(droNov:0.060764,strCam:0.0544507):0.00204604):0.00739154,((aptOwe:0.0488861,(tinGut:0.128183,eudEle:0.145616):0.0321843):0.00902676,(rheAme:0.0709065,(casCas:0.0462028,cryCin:0.159432):0.00515298):0.0130462):0.00361249):0.00767281,(notPer:0.16251,anoDid:0.0635201):0.0431598):0.0172825):0.0214563):0.159768,(nipNip:0.101478,galGal:0.17421):0.210512);
51	0.0207143	((galGal:0.173824,(halLeu:0.068233,nipNip:0.0662639):0.0348278):0.0369842,(((strCam:0.055417,(anoDid:0.088665,((aptHaa:0.0108646,aptOwe:0.0111114):0.0390236,(aptRow:0.0426621,cryCin:0.16296):0.00689329):0.00104817):0.00187082):0.0141566,((droNov:0.0596225,(tinGut:0.0745047,eudEle:0.0919376):0.0879228):0.000111036,(rheAme:0.0401932,rhePen:0.040833):0.0369041):0.0161534):0.0190941,(casCas:0.0633509,notPer:0.193334):0.0294431):0.00748553);
51	0.0207143	((galGal:0.170767,(halLeu:0.0684661,nipNip:0.066497):0.0315378):0.040041,((droNov:0.0731906,((tinGut:0.149734,(aptHaa:0.0209329,aptOwe:0.0211797):0.0170732):0.0252369,((casCas:0.0612407,(rheAme:0.0474801,rhePen:0.04812):0.0333114):0.00605355,(eudEle:0.0713312,notPer:0.078889):0.118388):0.0026847):0.00102454):0.0126391,(strCam:0.05438,(aptRow:0.0394198,(cryCin:0.13957,anoDid:0.0573331):0.0201481):0.0120175):0.0251364):0.0166369);
51	0.0171429	((galGal:0.208169,(halLeu:0.0715072,nipNip:0.069538):0.0658992):0.00263858,((((strCam:0.0521264,(aptHaa:0.0154771,aptOwe:0.0157239):0.0340395):0.00329061,(cryCin:0.169061,(aptRow:0.0426045,anoDid:0.0806659):0.00615849):0.0037114):0.0186951,(casCas:0.0577551,droNov:0.0599422):0.0204833):0.0115083,((tinGut:0.165928,(rheAme:0.00636065,rhePen:0.00700051):0.0741256):0.00344214,(eudEle:0.11301,notPer:0.120568):0.0737925):0.0253691):0.0105328);
51	0.0171429	((galGal:0.200559,(halLeu:0.0939218,nipNip:0.0919527):0.0358748):0.0102484,((((aptHaa:0.0108646,aptOwe:0.0111114):0.0381045,(cryCin:0.137055,anoDid:0.054819):0.0318787):0.00383813,(aptRow:0.0501374,strCam:0.05308):0.00233699):0.0141566,(((casCas:0.0382288,droNov:0.0404159):0.00718445,(eudEle:0.083651,(tinGut:0.0594404,notPer:0.0844311):0.00677768):0.0841873):0.0121333,(rheAme:0.00498906,rhePen:0.00562892):0.0721082):0.0161534):0.0265796);
51	0.0164286	((galGal:0.210627,(halLeu:0.116575,nipNip:0.114605):0.0232895):0.000180948,((anoDid:0.0905358,((aptRow:0.0378138,(aptHaa:0.0154771,aptOwe:0.0157239):0.0226696):0.0135582,(cryCin:0.170052,strCam:0.0526964):0.00161832):0.00110229):0.0188508,((casCas:0.0574804,(rheAme:0.00636065,rhePen:0.00700051):0.0706706):0.00460147,(tinGut:0.162781,(droNov:0.0586355,(eudEle:0.111493,notPer:0.119051):0.0673807):0.00134004):0.00429342):0.0163121):0.0218855);
34	0.0307143	((galGal:0.200927,(halLeu:0.0813507,nipNip:0.0793816):0.0488131):0.0098812,((droNov:0.0742777,(aptHaa:0.0301,(aptOwe:0.0201253,aptRow:0.0195456):0.0102216):0.0352546):0.014175,(eudEle:0.189842,((strCam:0.0540418,(casCas:0.055466,(notPer:0.153779,anoDid:0.0547891):0.0316696):0.00270192):0.00380696,((rheAme:0.0411146,rhePen:0.0417544):0.0353166,(cryCin:0.0495215,tinGut:0.0412845):0.120588):0.00509448):0.00544214):0.0188486):0.0140138);
34	0.0271429	((galGal:0.185172,(halLeu:0.0607289,nipNip:0.0587597):0.0536805):0.0256356,((droNov:0.0648615,(aptHaa:0.0283848,(aptOwe:0.0211318,aptRow:0.0205521):0.0074998):0.0275536):0.0223054,(eudEle:0.191404,(((casCas:0.0558896,(strCam:0.0515485,(notPer:0.150604,anoDid:0.0516141):0.0350532):0.000214992):0.000868037,(cryCin:0.0547928,tinGut:0.0465558):0.115194):0.00199061,(rheAme:0.00871042,rhePen:0.00935028):0.0695887):0.0102312):0.0160003):0.0152997);
34	0.0228571	((halLeu:0.0650405,nipNip:0.0630714):0.0750045,(galGal:0.209172,((droNov:0.0947615,(aptRow:0.027648,(aptHaa:0.026686,aptOwe:0.0269329):0.00129478):0.0578576):0.00423521,(eudEle:0.189385,(((casCas:0.058297,(rheAme:0.0270725,rhePen:0.0277124):0.0507753):0.000836108,(strCam:0.0526972,(cryCin:0.0483898,tinGut:0.0401528):0.121663):0.00230978):0.0041906,(notPer:0.152632,anoDid:0.0536421):0.0406743):0.00363641):0.0298495):0.00183367):0.00163617);
34	0.0221429	((galGal:0.172873,(halLeu:0.0540491,nipNip:0.0520799):0.0480607):0.0379352,((droNov:0.0696334,(aptOwe:0.0315829,(aptHaa:0.0297968,aptRow:0.029464):0.00153921):0.0293743):0.0130902,(eudEle:0.188355,(((strCam:0.0522307,(casCas:0.0488813,(cryCin:0.0565002,tinGut:0.0482632):0.10561):0.00747564):0.00259861,(rheAme:0.0318381,rhePen:0.0324779):0.0466682):0.00536383,(notPer:0.167097,anoDid:0.068107):0.027205):0.00161101):0.0146061):0.019743);
34	0.0185714	((galGal:0.192494,(halLeu:0.0577101,nipNip:0.055741):0.0640207):0.0183142,((droNov:0.0646892,(aptHaa:0.0311703,(aptOwe:0.0276867,aptRow:0.027107):0.00373042):0.0245958):0.0348802,(eudEle:0.191934,((strCam:0.0537549,((casCas:0.0464603,rhePen:0.066651):0.00991141,(notPer:0.165311,anoDid:0.0663211):0.0210433):0.00150938):0.00297057,(rheAme:0.0676898,(cryCin:0.0555644,tinGut:0.0473274):0.105804):0.0127127):0.00865701):0.0278736):0.00289719);
