No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut.aptFor_0	taeGut.aptFor_1	taeGut.aptFor_2	taeGut.aptFor_3	taeGut.galGal_0	taeGut.galGal_1	taeGut.galGal_2	taeGut.galGal_3	aptHaa.aptOwe_0	aptHaa.aptOwe_1	aptHaa.aptOwe_2	aptHaa.aptOwe_3	aptHaa.aptRow_0	aptHaa.aptRow_1	aptHaa.aptRow_2	aptHaa.aptRow_3	casCas.droNov_0	casCas.droNov_1	casCas.droNov_2	casCas.droNov_3	aptHaa.casCas_0	aptHaa.casCas_1	aptHaa.casCas_2	aptHaa.casCas_3	rheAme.rhePen_0	rheAme.rhePen_1	rheAme.rhePen_2	rheAme.rhePen_3	aptHaa.rheAme_0	aptHaa.rheAme_1	aptHaa.rheAme_2	aptHaa.rheAme_3	cryCin.tinGut_0	cryCin.tinGut_1	cryCin.tinGut_2	cryCin.tinGut_3	eudEle.notPer_0	eudEle.notPer_1	eudEle.notPer_2	eudEle.notPer_3	cryCin.eudEle_0	cryCin.eudEle_1	cryCin.eudEle_2	cryCin.eudEle_3	cryCin.anoDid_0	cryCin.anoDid_1	cryCin.anoDid_2	cryCin.anoDid_3	aptHaa.cryCin_0	aptHaa.cryCin_1	aptHaa.cryCin_2	aptHaa.cryCin_3	aptHaa.strCam_0	aptHaa.strCam_1	aptHaa.strCam_2	aptHaa.strCam_3	taeGut.aptHaa_0	taeGut.aptHaa_1	taeGut.aptHaa_2	taeGut.aptHaa_3
18	5.70095	0.233438	0.296582	0.87131	0	0	0.718667	0.281333	0	0	0.624667	0.375333	0	0	0.23	0.77	0	0	0	0	1	0	0	0	1	0	0.0326667	0.000666667	0.966667	0	0.028	0	0.972	0	0.028	0.00333333	0.968667	0	0	0	1	0	0	0	1	0	0.619333	0.380667	0	0	0.158667	0.841333	0	0	0.128	0.872	0	0	0.953333	0.034	0.0126667	0	0.957333	0.00533333	0.0373333	0	0.962667	0	0.0373333	0	0.722667	0.277333	0	0	0.737333	0.262667	0	0	0	0.306	0.694	0	0.0333333	0.907333	0.0593333	0	0.028	0.908667	0.0633333	0	0.934	0.008	0.058	0	0	1	0	0	0.936667	0.0633333	0	0	0.944	0.056	0	0	0.958	0.042	0	0	0.958667	0.0413333	0	0	0.96	0.04	0	0	0.960667	0.0393333	0	0	0.962667	0.0373333	0	0	0.982	0.018	0
0	7.32215	0.219673	0.192935	0.69002	0	0	0.534667	0.465333	0	0	0.886667	0.113333	0	0	0.468	0.532	0	0	0	0	1	0	0	0.00133333	0.998667	0	0	0	1	0	0	0	1	0	0	0	1	0	0.404	0.002	0.594	0	0.400667	0.00533333	0.594	0	0.942	0.058	0	0	0.556	0.444	0	0	0.866	0.134	0	0	0.414	0.586	0	0	0.995333	0.00466667	0	0	0.998667	0.00133333	0	0	0.886667	0.113333	0	0	0.892	0.108	0	0	0	0.00133333	0.998667	0	0	1	0	0	0	1	0	0	0.370667	0.629333	0	0	0.406	0.0806667	0.513333	0	0.477333	0.522667	0	0	0.965333	0.0346667	0	0	0.944667	0.0553333	0	0	0.974	0.026	0	0	0.997333	0.00266667	0	0	0.998667	0.00133333	0	0	1	0	0	0	1	0	0
8	4.03003	0.110449	0.323642	0.728833	0	0	0	1	0	0	0	1	0	0	0.000666667	0.999333	0	0	0.00666667	0	0.993333	0	0.00666667	0	0.993333	0	0.026	0.000666667	0.973333	0	0.000666667	0	0.999333	0	0.000666667	0	0.999333	0	0	0	1	0	0	0	1	0	0.290667	0.709333	0	0	0.103333	0.896667	0	0	0.818667	0.181333	0	0	0.904667	0.0953333	0	0	0.992667	0.00733333	0	0	1	0	0	0	0.00333333	0.996667	0	0	0.500667	0.499333	0	0	0.00666667	0.0206667	0.972667	0	0.0266667	0.048	0.925333	0	0.000666667	0.992	0.00733333	0	0.0686667	0.929333	0.002	0	0	1	0	0	0.686667	0.313333	0	0	0.994	0.006	0	0	0.987333	0.0126667	0	0	0.996667	0.00333333	0	0	0.998	0.002	0	0	0.998667	0.00133333	0	0	1	0	0	0	1	0	0
14	5.00744	0.176116	0.283128	0.675655	0	0	0.634	0.366	0	0	0.514	0.486	0	0	0	1	0	0	0.0326667	0.0233333	0.944	0	0.03	0.02	0.95	0	0.142667	0.416	0.441333	0	0.162	0	0.838	0	0.162	0	0.838	0	0	0	1	0	0	0	1	0	0.0966667	0.903333	0	0	0.764	0.236	0	0	0.436	0.564	0	0	0.65	0.35	0	0	0.99	0.00133333	0.00866667	0	0.996	0.004	0	0	0.846667	0.153333	0	0	0.879333	0.120667	0	0	0.0326667	0.523333	0.444	0	0.185333	0.813333	0.00133333	0	0.162	0.124	0.714	0	0.268667	0.731333	0	0	0	1	0	0	0.668	0.332	0	0	0.985333	0.0146667	0	0	0.952	0.048	0	0	0.985333	0.0146667	0	0	0.990667	0.00933333	0	0	0.990667	0.00933333	0	0	0.999333	0.000666667	0	0	1	0	0
1	3.32428	0.28178	0.201768	0.443145	0	0	0.997333	0.00266667	0	0	1	0	0	0	0.869333	0.130667	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00666667	0.993333	0	0.182	0.0126667	0.805333	0	0.188	0.00666667	0.805333	0	0.0586667	0.916	0.0253333	0	0.06	0.564	0.376	0	0.06	0.000666667	0.939333	0	0.056	0.835333	0.108667	0	0.0606667	0	0.939333	0	0.799333	0.196	0.00466667	0	1	0	0	0	1	0	0	0	0	0.00266667	0.997333	0	0	0.798	0.202	0	0	0.802	0.198	0	0.08	0.799333	0.120667	0	0.193333	0.0113333	0.795333	0	0.194667	0.714	0.0913333	0	0.06	0.934667	0.00533333	0	0.06	0.885333	0.0546667	0	0.06	0.94	0	0	0.0606667	0.939333	0	0	0.318	0.682	0	0	0.894	0.106	0	0	1	0	0
9	9.32012	0.149791	0.15984	0.777243	0	0	0.76	0.24	0	0	0.628667	0.371333	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.998667	0.00133333	0	0	0.998667	0.00133333	0	0	0.985333	0.0146667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.947333	0.0526667	0	0	1	0	0	0	0	0.333333	0.666667	0	0	1	0	0	0	1	0	0	0.549333	0.450667	0	0	0	1	0	0	0.733333	0.266667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
19	6.1629	0.328607	0.525897	0.378187	0	0	0	1	0	0	0.000666667	0.999333	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.044	0.956	0	0	0	1	0	0	0	1	0	0	0	1	0	0.006	0.986667	0.00733333	0	0.00533333	0.800667	0.194	0	0.00133333	0.998667	0	0	0.00466667	0.995333	0	0	0.006	0	0.994	0	0.615333	0.0593333	0.325333	0	0.002	0.998	0	0	0.0213333	0.978667	0	0	0	0.460667	0.539333	0	0	0.978	0.022	0	0	0.989333	0.0106667	0	0.0506667	0.947333	0.002	0	0	0.626667	0.373333	0	0.116	0.882	0.002	0	0.006	0.994	0	0	0.006	0.994	0	0	0.006	0.994	0	0	0.006	0.994	0	0	0.226667	0.773333	0	0	0.616	0.384	0	0	0.748667	0.251333	0
15	7.86665	0.172555	0.221547	0.768368	0	0	1	0	0	0	0.978	0.022	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0.0166667	0	0.983333	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.993333	0.00666667	0	0	0.996	0.004	0	0	0.648667	0.351333	0	0	0.374	0.626	0	0	0.999333	0.000666667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0.407333	0.592667	0	0.0166667	0.754	0.229333	0	0	1	0	0	0.508667	0.491333	0	0	0	1	0	0	0.768667	0.231333	0	0	0.997333	0.00266667	0	0	0.888667	0.111333	0	0	0.997333	0.00266667	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
2	6.01625	0.21668	0.350906	0.66827	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00666667	0.993333	0	0	0	1	0	0	0	1	0	0	0	1	0	0.404	0.596	0	0	0.576	0.423333	0.000666667	0	0.479333	0.520667	0	0	0.172	0.828	0	0	0.872	0.00333333	0.124667	0	0.965333	0.0306667	0.004	0	0	1	0	0	0.0146667	0.985333	0	0	0	0.407333	0.592667	0	0	1	0	0	0	1	0	0	0.523333	0.476667	0	0	0	0.94	0.06	0	0.736667	0.263333	0	0	0.649333	0.350667	0	0	0.624	0.376	0	0	0.692	0.308	0	0	0.872667	0.127333	0	0	0.978	0.022	0	0	0.981333	0.0186667	0	0	0.986667	0.0133333	0
10	4.18879	0.169354	0.635109	0.316942	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.373333	0.626667	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0.91	0.09	0	0	1	0	0	0	0	1	0	0.002	0	0.998	0	0	1	0	0	0.032	0.968	0	0	0	0	1	0	0	0.008	0.992	0	0	0.374	0.626	0	0	0.566667	0.433333	0	0	0.962667	0.0373333	0	0	0.980667	0.0193333	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.002	0.998	0	0	0.360667	0.639333	0
