No.	n_rate	c_rate	g_rate	l_rate	l2_rate	halLeu_0	halLeu_1	halLeu_2	halLeu_3	nipNip_0	nipNip_1	nipNip_2	nipNip_3	galGal_0	galGal_1	galGal_2	galGal_3	aptHaa_0	aptHaa_1	aptHaa_2	aptHaa_3	aptOwe_0	aptOwe_1	aptOwe_2	aptOwe_3	aptRow_0	aptRow_1	aptRow_2	aptRow_3	casCas_0	casCas_1	casCas_2	casCas_3	droNov_0	droNov_1	droNov_2	droNov_3	rheAme_0	rheAme_1	rheAme_2	rheAme_3	rhePen_0	rhePen_1	rhePen_2	rhePen_3	cryCin_0	cryCin_1	cryCin_2	cryCin_3	tinGut_0	tinGut_1	tinGut_2	tinGut_3	eudEle_0	eudEle_1	eudEle_2	eudEle_3	notPer_0	notPer_1	notPer_2	notPer_3	anoDid_0	anoDid_1	anoDid_2	anoDid_3	strCam_0	strCam_1	strCam_2	strCam_3	taeGut-aptFor_0	taeGut-aptFor_1	taeGut-aptFor_2	taeGut-aptFor_3	taeGut-galGal_0	taeGut-galGal_1	taeGut-galGal_2	taeGut-galGal_3	aptHaa-aptOwe_0	aptHaa-aptOwe_1	aptHaa-aptOwe_2	aptHaa-aptOwe_3	aptHaa-aptRow_0	aptHaa-aptRow_1	aptHaa-aptRow_2	aptHaa-aptRow_3	casCas-droNov_0	casCas-droNov_1	casCas-droNov_2	casCas-droNov_3	aptHaa-casCas_0	aptHaa-casCas_1	aptHaa-casCas_2	aptHaa-casCas_3	rheAme-rhePen_0	rheAme-rhePen_1	rheAme-rhePen_2	rheAme-rhePen_3	aptHaa-rheAme_0	aptHaa-rheAme_1	aptHaa-rheAme_2	aptHaa-rheAme_3	cryCin-tinGut_0	cryCin-tinGut_1	cryCin-tinGut_2	cryCin-tinGut_3	eudEle-notPer_0	eudEle-notPer_1	eudEle-notPer_2	eudEle-notPer_3	cryCin-eudEle_0	cryCin-eudEle_1	cryCin-eudEle_2	cryCin-eudEle_3	cryCin-anoDid_0	cryCin-anoDid_1	cryCin-anoDid_2	cryCin-anoDid_3	aptHaa-cryCin_0	aptHaa-cryCin_1	aptHaa-cryCin_2	aptHaa-cryCin_3	aptHaa-strCam_0	aptHaa-strCam_1	aptHaa-strCam_2	aptHaa-strCam_3	taeGut-aptHaa_0	taeGut-aptHaa_1	taeGut-aptHaa_2	taeGut-aptHaa_3
51	3.35675	0.135612	0.509015	0.832921	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0.000142857	0	0.999857	0	0	1	0	0	0.000142857	0.999857	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00285714	0.997143	0	0	0	1	0	0	0.062	0.938	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000142857	0.999857	0	0	0.0277143	0.972286	0
34	2.404	0.217965	0.543289	0.817205	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000142857	0.999857	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.0142857	0.985714	0	0.000571429	0.00985714	0.989571	0	0	1	0	0	0.004	0.996	0	0	0	0	1	0	0	0	1	0	0	0.00314286	0.996857	0	0	0.0301429	0.969857	0	0	0	1	0	0	0.148714	0.851286	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000571429	0.999429	0	0	0.111143	0.888857	0
13	3.5191	0.222334	0.542093	0.827102	0	0	0.000142857	0.999857	0	0	0.000428571	0.999571	0	0	0.000285714	0.999714	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0.000571429	0.00228571	0.997143	0	0.00285714	0.997143	0	0	0.0122857	0.987714	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0145714	0.985429	0	0	0	1	0	0	0.114429	0.885571	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000571429	0.999429	0	0	0.000571429	0.999429	0	0	0.095	0.905	0
43	2.54665	0.278348	0.587181	0.742202	0	0	0.009	0.991	0	0	0.0164286	0.983571	0	0	0.0531429	0.946857	0	0	0	0	1	0	0	0	1	0	0	0.000142857	0.999857	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000142857	0.376429	0.623429	0	0.0721429	0.000857143	0.927	0	0.042	0.958	0	0	0.141714	0.858286	0	0	0	0	1	0	0	0.00242857	0.997571	0	0	0	1	0	0	0.0397143	0.960286	0	0	0	1	0	0	0.182286	0.817714	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000142857	0.999857	0	0	0.004	0.996	0	0	0.0724286	0.927571	0	0	0.389	0.611	0
58	2.04561	0.171705	0.507193	0.819472	0	0	0.0901429	0.909857	0	0	0.447571	0.552429	0	0	0.00285714	0.997143	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0.000571429	0.000142857	0.999286	0	0.000571429	0.000142857	0.999286	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0.0667143	0.004	0.929286	0	0.551143	0.448857	0	0	0.590429	0.409571	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.0312857	0.968714	0	0.000714286	0	0.999286	0	0.000714286	0.171	0.828286	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.00314286	0.996857	0	0	0.0678571	0.932143	0	0	0.636429	0.363571	0
24	4.19905	0.0822508	0.57074	0.625826	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.000571429	0.999429	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0.000714286	0.999286	0	0	0	0	1	0	0	0.888429	0.111571	0	0	0.973714	0.0262857	0	0	0.978714	0.0212857	0	0	0	1	0	0	0.982143	0.0178571	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.147571	0.852429	0
0	4.62461	0.342646	0.365109	0.621919	0	0	0.290286	0.709714	0	0	0.851286	0.148714	0	0	0.283	0.717	0	0	0	0.000857143	0.999143	0	0	0.003	0.997	0	0	0	1	0	0	0	1	0	0	0	1	0	0.00885714	0.001	0.990143	0	0.00828571	0.00157143	0.990143	0	0.0228571	0.977143	0	0	0.0115714	0.988429	0	0	0.0148571	0.985143	0	0	0.00571429	0.994286	0	0	0.168571	0.522857	0.308571	0	0.554143	0.117571	0.328286	0	0.851714	0.148286	0	0	0.855571	0.144429	0	0	0	0.004	0.996	0	0	0.0535714	0.946429	0	0	0.410429	0.589571	0	0.00242857	0.483	0.514571	0	0.00985714	0	0.990143	0	0.00985714	0.64	0.350143	0	0.0242857	0.975714	0	0	0.018	0.982	0	0	0.0304286	0.969571	0	0	0.204143	0.795857	0	0	0.271714	0.728286	0	0	0.579286	0.420714	0	0	0.905143	0.0948571	0
64	4.79776	0.366915	0.527561	0.627642	0	0	0.352857	0.647143	0	0	0.167429	0.832571	0	0	0.02	0.98	0	0	0	0.001	0.999	0	0	0.0461429	0.953857	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.158571	0.0932857	0.748143	0	0.318714	0	0.681286	0	0.403714	0.596286	0	0	0.791857	0.208143	0	0	0	0.0744286	0.925571	0	0	0.759143	0.240857	0	0	0.659	0.341	0	0	0.805857	0.194143	0	0	0	1	0	0	0.844	0.156	0	0.000142857	0.999857	0	0	0.000428571	0.999571	0	0	0.00185714	0.998143	0	0	0.164	0.836	0	0	0.190286	0.809714	0	0	0.318714	0.681286	0	0	0.906	0.094	0
35	2.8415	0.124572	0.518241	0.819481	0	0	0.00128571	0.998714	0	0	0.000428571	0.999571	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0.000142857	0.999857	0	0	0	1	0	0.00371429	0.996286	0	0	0.00757143	0.992429	0	0	0	0	1	0	0	0	1	0	0	0.00157143	0.998429	0	0	0.0482857	0.951714	0	0	0	1	0	0	0.193429	0.806571	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.074	0.926	0
52	5.96307	0.26237	0.411091	0.72709	0	0	0.0275714	0.972429	0	0	0.0238571	0.976143	0	0	0.00171429	0.998286	0	0	0	0	1	0	0	0	1	0	0.00214286	0.000285714	0.997571	0	0.597857	0.0392857	0.362857	0	0.414286	0.564857	0.0208571	0	0	0.000142857	0.999857	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.356429	0.613857	0.0297143	0	0.816286	0.183714	0	0	0.0308571	0.969143	0	0	0.0521429	0.947857	0	0	0	0.0364286	0.963571	0	0.00214286	0.994857	0.003	0	0.634571	0.365	0.000428571	0	0.729857	0.270143	0	0	0	0.999714	0.000285714	0	0.782286	0.217714	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0.447	0.553	0	0	0.831857	0.168143	0	0	0.994571	0.00542857	0	0	0.995857	0.00414286	0
